year,n_train,n_test,accuracy,log_loss,C
2011,192,67,0.7015,0.581,0.05
2012,259,67,0.7015,0.5707,0.05
2013,326,67,0.6716,0.5447,0.05
2014,393,67,0.6716,0.5163,0.05
2015,460,67,0.7612,0.4714,0.05
2016,527,67,0.7612,0.5416,0.05
2017,594,67,0.7313,0.4924,0.05
2018,661,67,0.7313,0.5398,0.05
2019,728,67,0.7015,0.5008,0.05
2021,795,66,0.7121,0.5591,0.05
2022,861,67,0.7015,0.5875,0.05
2023,928,67,0.7313,0.5494,0.05
