TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Boise St.,MWC,30,19,112.0,97.4,0.8332,51.8,51.4,18.4,20.0,30.3,24.4,33.7,42.2,48.4,51.0,38.7,34.8,66.2,-0.2,R68,13.0,2013,13.54,113.2,99.7,64.8,0.004,6.74,-1.38,13.5384,54.0,1.0,0.0
Boston College,ACC,33,16,108.6,102.0,0.6737,51.0,51.1,17.7,17.9,28.1,30.7,39.7,29.1,49.7,48.7,35.3,37.5,64.2,-5.4,,,2013,6.04,109.9,103.9,62.6,0.026,6.46,-3.14,6.0296,107.0,,0.0
Boston University,AE,30,17,103.2,101.1,0.557,52.2,47.4,18.8,21.5,25.9,31.2,26.5,33.2,49.9,47.8,37.0,31.1,66.2,-6.9,,,2013,2.23,105.3,103.0,64.4,-0.036,-3.12,-0.08,2.2444,143.0,,0.0
Bowling Green,MAC,30,11,95.4,98.5,0.4087,46.6,48.0,19.9,20.0,30.4,31.6,25.8,34.2,46.8,46.5,30.6,34.3,64.1,-13.3,,,2013,,,,,,,,-3.0999999999999943,150.0,,0.0
Bradley,MVC,35,18,102.8,101.9,0.5244,48.3,51.0,17.8,21.7,30.3,31.7,29.9,35.3,48.5,49.7,31.9,35.4,66.9,-7.5,,,2013,,,,,,,,0.8999999999999915,150.0,,0.0
Brown,Ivy,27,12,94.3,99.7,0.3458,47.6,49.5,21.6,18.5,30.5,27.1,34.3,34.0,45.3,45.7,34.0,37.8,64.4,-10.3,,,2013,,,,,,,,-5.400000000000006,150.0,,0.0
Bryant,NEC,31,19,107.6,108.0,0.4886,54.4,51.8,19.2,17.6,30.5,29.7,37.0,30.2,54.9,51.1,35.6,35.2,66.5,-6.4,,,2013,,,,,,,,-0.4000000000000057,150.0,,0.0
Bucknell,Pat,33,27,104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1.0,R64,11.0,2013,12.72,107.3,94.6,61.9,-0.014,-1.72,2.78,12.7256,58.0,4.0,0.0
Buffalo,MAC,32,12,102.5,103.4,0.4761,50.4,47.2,23.7,17.1,35.1,32.5,38.5,36.8,50.0,46.1,34.2,33.2,65.4,-13.6,,,2013,,,,,,,,-0.9000000000000057,150.0,,0.0
Butler,A10,35,26,109.2,93.0,0.8624,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,R32,6.0,2013,15.41,110.5,95.1,63.6,0.087,7.53,4.18,15.3752,42.0,5.0,0.0
Cal Poly,BW,30,16,103.5,104.7,0.4665,48.7,52.9,15.7,19.6,31.2,28.2,33.3,38.6,44.8,52.2,37.1,36.3,59.8,-7.3,,,2013,,,,,,,,-1.2000000000000028,150.0,,0.0
Cal St. Bakersfield,ind,26,10,95.6,103.1,0.295,46.8,51.5,20.7,21.9,30.1,30.2,35.4,52.4,44.7,51.3,33.7,34.6,66.5,-10.4,,,2013,,,,,,,,-7.5,150.0,,0.0
Cal St. Fullerton,BW,30,12,104.2,108.8,0.3797,53.6,54.1,18.1,22.8,25.0,37.2,35.5,36.6,51.8,54.8,37.7,35.1,69.9,-13.3,,,2013,,,,,,,,-4.599999999999994,150.0,,0.0
Cal St. Northridge,BW,29,12,101.2,107.3,0.3378,46.6,54.7,19.1,22.2,35.9,31.0,38.5,39.8,45.7,53.6,33.0,37.7,71.0,-11.7,,,2013,,,,,,,,-6.099999999999994,150.0,,0.0
California,P12,33,21,105.4,92.3,0.8211,48.0,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,R32,12.0,2013,13.11,107.3,94.2,64.9,0.041,8.35,2.12,13.0936,56.0,2.0,0.0
Campbell,BSth,30,11,96.1,110.1,0.174,48.2,51.6,20.1,20.2,32.7,34.6,30.8,39.2,48.7,52.2,31.2,33.5,66.3,-14.4,,,2013,,,,,,,,-14.0,150.0,,0.0
Canisius,MAAC,34,20,109.1,104.3,0.6247,52.7,50.4,19.6,19.8,34.8,33.1,34.3,32.4,48.9,50.4,38.6,33.6,66.5,-5.8,,,2013,5.06,111.2,106.2,65.1,-0.015,-0.12,3.47,5.066,116.0,,0.0
Central Arkansas,Slnd,28,11,97.0,111.9,0.1622,47.9,50.7,19.8,19.4,33.4,36.6,29.6,40.8,46.4,49.6,34.2,35.7,72.6,-13.0,,,2013,,,,,,,,-14.900000000000006,150.0,,0.0
Central Connecticut,NEC,30,13,100.3,108.6,0.2868,48.6,51.7,17.5,18.9,27.4,35.4,30.1,29.3,46.6,49.9,35.2,36.6,70.7,-11.7,,,2013,,,,,,,,-8.299999999999997,150.0,,0.0
Central Michigan,MAC,30,10,103.6,111.0,0.3107,48.3,55.0,19.8,19.8,30.9,33.1,39.4,34.8,47.1,54.2,33.2,37.7,65.6,-13.8,,,2013,,,,,,,,-7.400000000000006,150.0,,0.0
