TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Wright St.,Horz,34,19,99.5,97.3,0.5647,51.2,48.6,20.3,23.6,23.5,29.0,43.0,45.0,49.3,48.2,36.5,33.0,65.2,-8.1,,,2014,,,,,,,,2.200000000000003,106.0,,0.0
Wyoming,MWC,31,16,104.9,99.9,0.6368,52.7,46.2,16.9,16.6,18.1,31.6,45.6,32.8,53.0,45.6,34.9,31.6,61.1,-5.7,,,2014,,,,,,,,5.0,106.0,,0.0
Xavier,BE,34,21,112.0,99.5,0.7965,51.7,49.4,18.7,16.9,34.1,28.7,41.6,39.5,51.5,47.4,34.8,35.2,66.0,1.4,R68,12.0,2014,13.11,112.9,99.8,64.2,0.017,7.89,0.41,13.1032,52.0,1.0,0.0
Yale,Ivy,32,18,101.5,101.4,0.503,46.2,50.2,19.7,18.6,34.0,25.3,50.5,41.0,45.6,47.9,31.7,36.3,65.2,-6.0,,,2014,,,,,,,,0.0999999999999943,106.0,,0.0
Youngstown St.,Horz,29,12,107.0,108.4,0.4626,52.2,52.2,16.1,18.6,25.0,30.5,40.0,41.2,52.3,51.7,34.7,35.5,68.0,-10.3,,,2014,,,,,,,,-1.4000000000000057,106.0,,0.0
Abilene Christian,Slnd,28,7,90.6,111.3,0.0854,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,42.0,55.2,37.8,37.0,64.0,-16.8,,,2015,,,,,,,,-20.700000000000003,148.0,,0.0
Air Force,MWC,29,12,105.0,110.2,0.366,53.6,53.0,19.2,20.2,29.6,32.6,30.8,35.5,53.9,51.5,35.4,36.6,61.6,-10.2,,,2015,,,,,,,,-5.200000000000003,148.0,,0.0
Akron,MAC,34,20,103.4,97.1,0.6727,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41.0,46.7,43.8,34.9,33.0,64.1,-6.9,,,2015,5.77,105.1,99.4,63.6,-0.042,-0.98,-7.63,5.7867999999999995,108.0,,0.0
Alabama,SEC,33,18,110.1,98.2,0.7881,50.7,47.4,18.7,18.9,29.6,32.0,43.7,39.5,52.3,46.5,32.2,32.6,62.8,-1.7,,,2015,12.28,111.6,99.3,62.2,-0.032,7.98,-1.61,12.2928,55.0,,0.0
Alabama A&M,SWAC,28,8,92.8,113.9,0.0867,44.7,50.5,21.9,18.3,35.2,36.4,41.6,41.3,45.4,50.7,29.1,33.3,63.5,-15.9,,,2015,,,,,,,,-21.10000000000001,148.0,,0.0
Alabama St.,SWAC,27,17,94.4,105.2,0.2249,48.2,46.9,19.7,19.2,36.0,29.2,34.6,35.6,46.4,45.3,35.4,33.6,68.0,-7.2,,,2015,,,,,,,,-10.799999999999995,148.0,,0.0
Albany,AE,33,24,104.9,102.2,0.5749,49.9,49.6,18.8,20.1,32.6,26.0,39.0,30.4,47.9,46.2,35.8,36.2,61.3,-3.3,R64,14.0,2015,3.29,107.2,103.9,60.8,0.054,-5.5,0.18,3.2684,131.0,2.0,9.0
Alcorn St.,SWAC,30,5,91.6,118.2,0.0502,43.1,52.8,17.2,18.6,30.2,35.9,37.5,39.9,43.3,50.9,28.4,38.2,66.9,-20.6,,,2015,,,,,,,,-26.60000000000001,148.0,,0.0
American,Pat,33,17,99.8,103.8,0.3886,53.4,51.0,19.4,21.8,21.3,31.6,34.4,33.0,51.8,50.9,37.4,34.2,57.2,-10.1,,,2015,,,,,,,,-4.0,148.0,,0.0
Appalachian St.,SB,29,12,95.8,106.2,0.2328,45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,44.5,51.5,31.6,32.3,65.8,-11.7,,,2015,,,,,,,,-10.400000000000006,148.0,,0.0
Arizona,P12,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36.0,33.5,66.7,9.0,E8,2.0,2015,32.36,119.9,87.5,65.8,-0.033,7.37,0.09,32.3732,4.0,-1.0,51.0
Arizona St.,P12,34,18,107.9,97.1,0.7711,50.9,50.2,20.7,19.1,31.8,25.1,42.1,34.1,49.9,48.6,35.0,36.2,66.3,-3.8,,,2015,11.13,109.8,98.7,65.8,-0.035,6.57,-2.47,11.144,64.0,,0.0
Arkansas,SEC,36,27,113.2,96.0,0.8696,50.0,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,R32,5.0,2015,16.44,114.7,98.3,69.3,0.045,6.09,-3.44,16.422,29.0,3.0,16.0
Arkansas Little Rock,SB,30,12,102.9,108.0,0.3645,47.6,51.0,15.6,19.9,28.4,31.2,36.0,40.8,45.8,49.1,34.0,36.3,64.7,-13.1,,,2015,,,,,,,,-5.099999999999994,148.0,,0.0
Arkansas Pine Bluff,SWAC,32,12,90.1,108.7,0.1035,46.3,51.2,23.5,24.9,30.5,39.5,35.6,48.8,44.2,48.8,33.3,36.9,64.1,-15.1,,,2015,,,,,,,,-18.60000000000001,148.0,,0.0
Arkansas St.,SB,28,10,93.5,106.2,0.188,45.3,48.3,20.0,17.6,29.7,32.7,33.0,34.7,44.1,47.6,32.0,33.1,66.0,-13.0,,,2015,,,,,,,,-12.700000000000005,148.0,,0.0
Army,Pat,29,14,97.4,106.1,0.2739,50.0,51.0,19.1,18.9,29.7,31.5,32.0,40.7,51.1,49.9,32.2,35.8,69.9,-10.9,,,2015,,,,,,,,-8.699999999999989,148.0,,0.0
Auburn,SEC,34,14,105.3,101.6,0.6016,46.9,52.5,18.9,21.3,27.6,34.1,48.8,41.9,43.4,53.8,35.0,33.3,67.9,-6.9,,,2015,2.45,105.8,103.3,67.2,0.058,7.98,1.26,2.4268,139.0,,0.0
Austin Peay,OVC,28,6,93.1,107.1,0.1662,44.5,54.9,20.8,20.3,31.8,29.2,41.6,38.4,44.2,53.2,30.1,38.6,67.2,-16.7,,,2015,,,,,,,,-14.0,148.0,,0.0
BYU,WCC,33,23,118.3,100.3,0.8699,53.2,49.6,16.4,17.7,33.4,28.4,42.5,39.2,50.2,49.6,39.0,33.1,70.8,0.8,R68,11.0,2015,16.69,119.4,102.7,70.4,-0.055,3.96,3.78,16.712,28.0,-4.0,38.0
Ball St.,MAC,29,6,98.9,106.7,0.2942,48.9,52.4,21.6,18.2,29.9,28.6,35.4,42.1,47.7,51.8,33.6,35.7,64.0,-15.8,,,2015,,,,,,,,-7.799999999999997,148.0,,0.0
Baylor,B12,33,23,116.3,92.7,0.9316,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,5.0,R64,3.0,2015,22.14,116.6,94.5,61.5,-0.035,10.22,-0.51,22.154,14.0,1.0,52.0
Belmont,OVC,32,21,108.7,106.8,0.5497,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,-4.7,R64,15.0,2015,2.27,110.2,107.9,66.9,0.065,-3.33,-1.68,2.244,142.0,1.0,5.0
Bethune Cookman,MEAC,30,9,90.4,109.4,0.1001,44.2,48.2,22.7,20.9,34.4,34.1,40.3,46.4,44.4,47.5,29.1,33.1,60.6,-18.2,,,2015,,,,,,,,-19.0,148.0,,0.0
Binghamton,AE,30,5,91.4,109.2,0.1151,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,63.6,-19.3,,,2015,,,,,,,,-17.799999999999997,148.0,,0.0
Boise St.,MWC,32,23,109.5,96.0,0.821,53.2,47.6,16.1,19.4,27.8,25.6,32.4,31.6,49.6,48.1,38.9,31.3,63.4,0.2,R68,11.0,2015,13.85,111.9,98.1,62.8,0.009,0.94,-0.31,13.8464,47.0,1.0,33.0
Boston College,ACC,32,13,108.6,99.2,0.74,50.8,49.4,18.8,18.8,26.0,30.9,35.0,40.8,52.1,49.0,32.4,33.5,63.9,-5.8,,,2015,5.61,107.9,102.3,63.4,-0.035,8.01,-4.64,5.6240000000000006,110.0,,0.0
Boston University,Pat,29,12,103.9,109.3,0.3566,52.7,53.0,19.4,16.3,28.2,28.4,44.9,33.6,50.8,50.9,36.8,37.4,64.7,-11.9,,,2015,,,,,,,,-5.3999999999999915,148.0,,0.0
Bowling Green,MAC,32,21,104.2,100.1,0.614,49.3,47.2,18.4,19.5,31.6,29.5,32.4,32.2,48.6,46.1,33.8,32.6,63.8,-4.2,,,2015,5.2,105.9,100.7,63.7,0.006,-1.56,-5.19,5.1976,115.0,,0.0
Bradley,MVC,32,8,91.9,98.1,0.322,42.3,50.3,20.4,21.9,32.0,29.0,37.8,46.2,40.7,47.2,30.1,36.9,62.4,-15.2,,,2015,,,,,,,,-6.199999999999989,148.0,,0.0
Brown,Ivy,29,11,98.3,105.0,0.3178,47.0,48.5,21.6,16.4,29.8,30.5,45.0,36.4,47.2,47.0,31.1,34.7,68.2,-12.2,,,2015,,,,,,,,-6.700000000000003,148.0,,0.0
Bryant,NEC,31,16,102.1,108.8,0.3266,48.8,48.3,18.3,16.6,29.5,32.0,32.8,35.9,46.9,48.9,34.6,31.5,63.6,-10.4,,,2015,,,,,,,,-6.700000000000003,148.0,,0.0
Bucknell,Pat,33,18,103.2,107.1,0.3935,49.7,49.9,17.1,14.5,29.6,25.9,40.3,38.4,46.2,47.7,38.1,36.6,64.8,-8.4,,,2015,,,,,,,,-3.899999999999991,148.0,,0.0
Buffalo,MAC,33,23,109.1,98.0,0.7742,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48.0,34.1,33.0,68.9,-1.3,R64,12.0,2015,11.87,111.3,99.4,68.3,0.001,1.83,0.81,11.869599999999998,58.0,3.0,27.0
Butler,BE,34,23,108.5,88.6,0.9115,48.4,46.7,17.0,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,R32,6.0,2015,20.09,110.2,90.1,63.2,-0.023,9.72,0.69,20.0992,20.0,-1.0,52.0
Cal Poly,BW,27,11,101.5,100.0,0.5427,44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,42.5,47.3,31.6,35.6,59.2,-9.0,,,2015,,,,,,,,1.5,148.0,,0.0
Cal St. Bakersfield,WAC,30,11,98.3,105.4,0.3097,46.0,48.3,20.1,19.0,33.4,26.9,37.7,48.7,45.0,44.4,32.0,36.6,61.1,-14.6,,,2015,,,,,,,,-7.1000000000000085,148.0,,0.0
Cal St. Fullerton,BW,29,7,97.1,107.0,0.2464,45.7,51.3,19.2,16.6,28.5,27.1,36.7,41.0,44.9,48.1,31.8,38.7,66.4,-15.9,,,2015,,,,,,,,-9.900000000000006,148.0,,0.0
Cal St. Northridge,BW,31,7,99.0,107.2,0.2858,45.3,51.0,19.5,16.6,28.4,30.5,41.1,35.9,44.3,48.5,33.0,36.6,65.8,-15.8,,,2015,,,,,,,,-8.200000000000003,148.0,,0.0
California,P12,33,18,102.6,97.0,0.6558,48.9,46.8,16.6,14.3,26.0,25.1,30.3,38.8,47.0,45.6,35.9,33.4,66.1,-3.4,,,2015,5.25,104.2,99.0,65.3,0.062,5.58,-3.07,5.2252,113.0,,0.0
Campbell,BSth,29,7,96.0,107.8,0.2088,49.8,52.5,20.1,19.0,27.5,30.8,35.9,42.4,46.5,52.7,36.0,34.7,61.8,-17.5,,,2015,,,,,,,,-11.799999999999995,148.0,,0.0
Canisius,MAAC,33,18,101.2,100.7,0.5153,46.6,46.9,18.4,21.5,34.0,32.3,32.0,40.7,46.1,46.1,31.8,32.2,63.9,-9.3,,,2015,,,,,,,,0.5,148.0,,0.0
Central Arkansas,Slnd,29,2,89.1,116.3,0.0447,48.8,55.0,25.6,18.3,28.0,36.7,39.3,42.5,46.5,54.4,35.3,37.6,69.9,-23.0,,,2015,,,,,,,,-27.200000000000003,148.0,,0.0
Central Connecticut,NEC,31,5,91.3,111.3,0.0926,44.6,51.4,21.3,15.8,30.9,32.8,28.6,23.9,43.2,51.2,32.2,34.5,63.8,-21.9,,,2015,,,,,,,,-20.0,148.0,,0.0
Central Michigan,MAC,29,20,113.2,105.1,0.7002,54.5,51.7,15.1,19.7,28.8,30.9,36.6,36.2,53.7,51.7,36.9,34.4,64.6,-2.6,,,2015,8.23,114.9,106.6,64.4,0.015,-1.27,-12.27,8.224,80.0,,0.0
Charleston Southern,BSth,28,16,103.9,107.4,0.4061,48.5,52.4,17.2,18.9,33.4,28.5,34.9,32.4,46.7,50.5,33.7,36.7,65.7,-6.2,,,2015,,,,,,,,-3.5,148.0,,0.0
Charlotte,CUSA,32,14,106.2,106.4,0.4954,51.7,50.6,19.6,18.4,33.7,31.3,36.9,33.1,49.8,48.3,37.6,36.5,67.4,-10.2,,,2015,1.92,109.9,108.0,66.8,-0.105,0.3,4.53,1.962,146.0,,0.0
Chattanooga,SC,30,20,102.4,103.3,0.4745,50.5,48.0,19.4,18.7,32.5,32.7,43.8,43.2,49.9,46.3,34.4,35.0,65.3,-4.9,,,2015,,,,,,,,-0.8999999999999915,148.0,,0.0
Chicago St.,WAC,29,5,87.8,106.0,0.1028,42.3,52.8,23.5,22.3,33.6,33.3,27.1,53.9,40.6,50.0,30.2,38.1,63.5,-17.7,,,2015,,,,,,,,-18.200000000000003,148.0,,0.0
Cincinnati,Amer,34,23,106.5,92.3,0.838,49.5,44.1,21.0,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,R32,8.0,2015,14.15,108.2,94.0,59.8,-0.016,3.39,1.69,14.1564,43.0,3.0,42.0
Clemson,ACC,31,16,104.2,92.7,0.7942,46.0,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,62.2,-3.0,,,2015,7.82,104.5,96.7,61.6,0.009,6.49,-3.83,7.816400000000001,84.0,,0.0
Cleveland St.,Horz,32,17,105.5,100.5,0.6382,51.7,48.8,19.0,21.0,31.9,30.6,31.1,43.7,48.9,45.6,37.9,36.2,61.4,-6.8,,,2015,7.42,108.3,100.9,61.1,-0.098,0.26,1.57,7.4592,89.0,,0.0
Coastal Carolina,BSth,30,20,104.5,103.0,0.5417,50.0,47.7,17.5,16.9,34.8,28.0,38.9,35.0,48.1,45.8,35.9,33.8,64.1,-5.1,R64,16.0,2015,2.38,106.7,104.3,64.1,0.006,-6.45,-1.05,2.3775999999999997,140.0,0.0,8.0
Colgate,Pat,32,15,105.6,107.2,0.4564,56.0,50.7,18.8,16.5,23.7,28.4,27.4,35.1,53.8,47.8,39.5,37.8,61.2,-11.4,,,2015,,,,,,,,-1.6000000000000083,148.0,,0.0
College of Charleston,CAA,33,9,93.7,102.7,0.2577,46.0,48.1,19.3,18.4,27.5,32.2,32.4,47.4,43.2,45.4,34.3,35.8,61.6,-17.1,,,2015,,,,,,,,-9.0,148.0,,0.0
Colorado,P12,34,16,105.9,99.0,0.6861,48.4,48.9,19.9,16.9,34.4,27.9,40.8,33.9,47.7,46.5,33.5,35.3,65.1,-5.6,,,2015,7.09,107.5,100.5,65.0,-0.041,5.63,-0.94,7.1064,91.0,,0.0
Colorado St.,MWC,33,26,110.0,98.4,0.7826,50.1,48.7,16.1,18.0,34.1,25.4,41.9,33.3,49.0,45.7,34.8,36.2,67.1,1.2,,,2015,10.01,111.6,101.6,66.6,0.087,-0.22,-1.63,9.9752,72.0,,0.0
Columbia,Ivy,27,12,106.4,105.7,0.5179,51.6,47.9,19.4,16.2,32.0,29.2,28.2,38.2,49.7,47.2,35.9,33.1,60.5,-9.8,,,2015,,,,,,,,0.7000000000000028,148.0,,0.0
Connecticut,Amer,35,20,105.3,97.4,0.7109,50.0,45.2,18.6,17.9,30.2,30.5,32.3,32.6,48.4,42.8,35.4,33.2,62.5,-3.3,,,2015,9.98,107.7,97.7,62.1,-0.065,3.07,4.02,10.006,73.0,,0.0
Coppin St.,MEAC,30,7,97.0,115.7,0.1163,47.0,54.5,18.4,19.3,25.3,38.1,30.5,42.4,42.4,53.2,35.3,38.4,74.3,-16.6,,,2015,,,,,,,,-18.700000000000003,148.0,,0.0
Cornell,Ivy,29,12,93.9,98.1,0.3746,44.6,45.7,19.0,19.3,23.1,30.0,39.3,41.5,44.1,43.2,30.3,33.3,65.2,-11.2,,,2015,,,,,,,,-4.199999999999989,148.0,,0.0
Creighton,BE,33,14,109.6,99.8,0.745,49.4,50.5,18.4,17.1,31.3,28.1,36.3,33.4,47.6,46.9,34.6,38.0,63.1,-5.8,,,2015,8.36,111.0,102.6,62.1,-0.083,7.79,-3.41,8.3932,79.0,,0.0
Dartmouth,Ivy,29,14,98.8,102.1,0.4061,49.2,49.9,20.3,21.2,30.9,28.5,35.7,42.7,47.9,47.8,34.6,35.4,63.6,-9.1,,,2015,,,,,,,,-3.299999999999997,148.0,,0.0
Davidson,A10,31,23,118.3,102.2,0.8435,55.4,49.3,14.1,17.0,29.6,30.4,28.5,34.6,53.1,51.4,38.7,30.0,67.2,1.7,R64,10.0,2015,15.0,119.7,104.7,66.7,0.056,3.16,-3.78,14.9776,36.0,-1.0,45.0
Dayton,A10,36,27,107.0,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,R32,11.0,2015,14.24,109.2,95.0,63.4,0.022,3.39,0.07,14.2312,42.0,0.0,30.0
DePaul,BE,32,12,107.5,103.8,0.5972,50.7,50.8,19.8,18.8,27.4,35.5,36.5,48.7,49.2,52.7,35.2,31.2,67.7,-7.4,,,2015,,,,,,,,3.700000000000003,148.0,,0.0
Delaware,CAA,30,10,99.1,107.3,0.2855,47.1,50.0,18.4,15.6,28.8,31.5,38.1,33.2,44.5,46.7,34.5,37.0,65.8,-14.0,,,2015,,,,,,,,-8.200000000000003,148.0,,0.0
Delaware St.,MEAC,34,16,99.3,110.0,0.2364,47.7,48.8,19.7,16.4,31.8,31.8,31.5,36.0,44.8,48.0,35.0,33.5,67.4,-10.7,,,2015,,,,,,,,-10.700000000000005,148.0,,0.0
Denver,Sum,30,12,103.5,107.5,0.3943,56.2,52.9,19.1,20.4,19.3,29.6,31.2,51.2,55.5,51.7,38.0,37.1,57.9,-12.5,,,2015,,,,,,,,-4.0,148.0,,0.0
Detroit,Horz,31,13,101.1,103.6,0.4304,49.7,52.0,19.3,21.2,29.4,29.8,32.4,48.3,46.3,53.0,37.9,33.7,68.0,-10.3,,,2015,,,,,,,,-2.5,148.0,,0.0
Drake,MVC,30,8,104.0,110.9,0.3239,52.1,54.9,22.3,16.9,23.3,32.0,34.0,30.5,47.4,53.2,40.6,38.5,59.5,-13.2,,,2015,,,,,,,,-6.900000000000006,148.0,,0.0
Drexel,CAA,29,11,98.2,104.1,0.3396,45.0,50.1,17.0,18.5,27.5,31.2,33.1,35.7,42.6,49.0,33.0,35.1,61.2,-12.5,,,2015,,,,,,,,-5.8999999999999915,148.0,,0.0
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,Champions,1.0,2015,32.48,124.5,92.0,65.8,0.067,11.17,1.31,32.453199999999995,3.0,0.0,63.0
Duquesne,A10,30,11,107.0,111.7,0.379,51.2,51.7,18.3,16.0,31.7,33.3,32.5,33.8,49.5,47.7,36.2,38.5,67.6,-11.3,,,2015,,,,,,,,-4.700000000000003,148.0,,0.0
East Carolina,Amer,31,12,102.2,106.1,0.393,48.4,50.9,18.0,19.2,28.2,34.7,29.9,34.1,45.2,53.0,35.6,31.6,61.9,-10.8,,,2015,,,,,,,,-3.899999999999991,148.0,,0.0
East Tennessee St.,SC,28,14,101.1,104.5,0.4069,49.8,51.3,18.7,21.4,29.6,33.0,39.8,42.3,45.5,49.5,36.7,35.8,67.9,-9.0,,,2015,,,,,,,,-3.4000000000000057,148.0,,0.0
Eastern Illinois,OVC,31,16,97.7,104.9,0.3043,51.0,48.8,19.0,18.9,23.4,34.3,33.4,31.4,47.8,47.2,37.4,34.4,63.4,-8.2,,,2015,,,,,,,,-7.200000000000003,148.0,,0.0
Eastern Kentucky,OVC,31,19,103.4,101.8,0.5439,53.9,53.5,17.9,26.9,21.6,34.8,32.2,35.0,54.9,49.9,35.1,39.2,64.0,-5.5,,,2015,3.46,106.3,102.8,63.5,-0.03,-4.84,-2.63,3.472,129.0,,0.0
Eastern Michigan,MAC,31,17,99.4,97.4,0.5591,46.9,46.2,17.8,21.5,30.2,33.7,41.5,42.5,46.7,44.0,31.4,33.1,66.3,-6.3,,,2015,2.69,101.8,99.2,66.0,-0.001,-0.32,-4.35,2.6904,138.0,,0.0
Eastern Washington,BSky,32,23,110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36.0,52.2,49.2,39.3,38.7,68.5,-2.6,R64,13.0,2015,3.25,112.9,109.6,68.2,0.067,-3.75,3.94,3.2232,133.0,3.0,10.0
Elon,CAA,31,13,96.2,105.2,0.2641,47.5,51.3,19.0,21.2,27.9,31.9,37.6,44.1,45.1,50.6,34.5,35.0,68.5,-12.6,,,2015,,,,,,,,-9.0,148.0,,0.0
Evansville,MVC,35,23,104.0,99.7,0.6211,52.1,49.4,19.3,19.9,25.8,28.0,44.3,31.4,51.8,47.5,35.4,35.5,66.4,-4.7,,,2015,5.25,106.6,101.3,66.2,0.039,-0.75,-5.22,5.2344,113.0,,0.0
FIU,CUSA,31,14,94.0,102.6,0.2669,48.2,48.0,22.6,19.2,29.0,31.9,37.4,36.6,48.6,46.4,31.3,33.7,65.1,-11.5,,,2015,,,,,,,,-8.599999999999994,148.0,,0.0
Fairfield,MAAC,31,7,93.7,104.5,0.2203,45.2,48.3,20.2,18.3,27.3,33.9,37.1,42.7,43.2,47.2,32.2,34.3,62.1,-18.5,,,2015,,,,,,,,-10.799999999999995,148.0,,0.0
Fairleigh Dickinson,NEC,28,7,95.0,111.4,0.1376,46.5,52.3,18.6,23.2,27.6,40.4,34.2,51.8,45.5,52.5,32.1,34.7,67.5,-16.4,,,2015,,,,,,,,-16.400000000000006,148.0,,0.0
Florida,SEC,33,16,105.8,89.4,0.8746,49.6,46.0,19.6,21.6,31.7,29.1,31.4,37.8,50.3,44.6,32.4,32.8,62.7,-2.9,,,2015,15.39,107.3,91.9,62.7,-0.117,10.08,4.19,15.4368,34.0,,0.0
Florida A&M,MEAC,29,2,83.6,116.0,0.0226,41.3,53.5,21.8,18.5,26.8,35.5,37.8,34.9,40.9,54.0,28.3,35.1,66.3,-23.2,,,2015,,,,,,,,-32.400000000000006,148.0,,0.0
Florida Atlantic,CUSA,27,7,97.0,108.0,0.2239,48.2,49.9,19.5,16.7,26.0,31.5,27.8,37.6,45.6,51.3,34.9,29.9,64.4,-15.0,,,2015,,,,,,,,-11.0,148.0,,0.0
Florida Gulf Coast,ASun,30,19,99.4,102.0,0.4261,48.2,45.3,17.7,17.3,34.4,32.1,33.1,34.6,47.0,45.8,33.9,29.6,64.8,-5.1,,,2015,,,,,,,,-2.5999999999999943,148.0,,0.0
Florida St.,ACC,33,17,104.1,96.2,0.7105,50.1,47.3,21.9,18.0,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66.6,-3.3,,,2015,6.37,105.6,99.3,65.9,0.038,5.95,-4.74,6.3548,99.0,,0.0
Fordham,A10,30,9,101.0,103.0,0.445,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,65.9,-12.3,,,2015,,,,,,,,-2.0,148.0,,0.0
Fresno St.,MWC,30,13,100.6,103.8,0.4111,47.1,49.4,17.2,20.3,25.9,32.7,38.8,44.3,47.2,48.0,31.3,34.8,65.3,-9.4,,,2015,,,,,,,,-3.200000000000003,148.0,,0.0
Furman,SC,31,9,97.6,109.5,0.2099,49.0,52.3,21.1,16.5,29.5,32.3,44.1,36.5,48.9,51.3,32.8,36.0,62.8,-16.2,,,2015,,,,,,,,-11.900000000000006,148.0,,0.0
Gardner Webb,BSth,31,16,105.2,109.8,0.3783,51.0,53.4,17.4,17.1,29.8,31.8,37.7,29.1,50.4,51.9,34.6,37.8,68.0,-7.7,,,2015,,,,,,,,-4.599999999999994,148.0,,0.0
George Mason,A10,30,8,101.2,103.8,0.4276,45.5,50.0,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,65.0,-12.6,,,2015,,,,,,,,-2.5999999999999943,148.0,,0.0
George Washington,A10,35,22,107.2,96.2,0.7755,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,47.3,44.9,35.2,31.9,62.7,-2.3,,,2015,10.19,108.4,98.2,61.9,0.009,3.34,-1.96,10.1864,69.0,,0.0
Georgetown,BE,33,22,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31.0,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,R32,4.0,2015,19.13,114.3,95.1,64.0,-0.0,10.23,3.24,19.13,22.0,2.0,60.0
Georgia,SEC,33,21,107.6,92.6,0.8482,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,1.6,R64,10.0,2015,15.09,109.6,94.5,64.1,0.001,8.73,1.41,15.0896,35.0,-1.0,17.0
Georgia Southern,SB,28,19,98.2,97.5,0.5203,47.3,46.2,18.3,22.0,32.6,32.2,36.2,32.7,47.5,45.9,31.4,31.2,63.8,-4.6,,,2015,1.89,100.5,98.6,63.4,0.022,-5.07,-8.48,1.8812,147.0,,0.0
Georgia St.,SB,34,24,109.5,98.0,0.7802,52.0,45.8,16.3,23.2,30.0,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,-3.0,R32,14.0,2015,10.32,111.6,101.3,62.4,-0.003,-1.47,3.63,10.3212,68.0,2.0,22.0
Georgia Tech,ACC,31,12,102.1,92.9,0.7463,44.4,49.2,19.6,18.0,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,64.2,-6.1,,,2015,7.67,103.7,96.0,63.7,-0.07,8.38,0.43,7.698,86.0,,0.0
Gonzaga,WCC,37,34,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28.0,38.7,30.5,57.0,42.0,40.0,33.0,65.2,7.8,E8,2.0,2015,27.78,121.7,93.9,64.7,0.018,4.37,3.0,27.7728,7.0,0.0,73.0
Grambling St.,SWAC,27,0,76.7,117.0,0.0077,39.4,52.2,26.1,16.9,28.9,36.4,39.6,38.7,38.4,54.3,28.3,32.1,65.5,-22.3,,,2015,,,,,,,,-40.3,148.0,,0.0
Grand Canyon,WAC,30,15,104.1,112.9,0.2831,50.4,49.6,17.1,16.3,26.8,33.9,40.1,36.1,50.2,49.3,33.7,33.6,65.0,-9.7,,,2015,,,,,,,,-8.800000000000011,148.0,,0.0
Green Bay,Horz,31,22,102.6,93.3,0.7475,49.3,46.0,18.5,20.8,33.3,29.4,39.3,39.8,51.8,44.0,28.3,33.7,65.4,-1.1,,,2015,10.11,104.7,94.6,64.9,0.031,0.01,1.78,10.0976,71.0,,0.0
Hampton,MEAC,35,17,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,R64,16.0,2015,,,,,,,,-7.5,148.0,0.0,3.0
Hartford,AE,29,13,95.2,105.4,0.2371,47.3,50.4,19.0,20.9,25.3,29.5,29.8,42.1,46.0,52.0,32.5,31.6,63.8,-11.2,,,2015,,,,,,,,-10.200000000000005,148.0,,0.0
