feature,mean_abs_shap,std_abs_shap,mean_shap,n_folds,sign_consistency,passes_importance,passes_consistency,recommended
SEED_DIVERGENCE,0.11644920306210252,0.020486142408515543,-0.004497085645142861,8,0.375,True,False,False
TRUE_QUALITY_SCORE,0.11382825660162674,0.047990353126836624,-0.0013955978473924897,8,0.375,True,False,False
ADJOE,0.036478549962037844,0.025315545048543435,-0.002652375661562706,8,0.5,True,False,False
ADJDE,0.03363250537608179,0.027277205705622674,0.0006688178165462045,8,0.375,True,False,False
COACH_PREMIUM,0.030436783575818627,0.02576402117753282,-4.452313768617844e-05,8,0.5,True,False,False
TOR,0.013852437907506081,0.007445789814574967,-0.00036724414504075997,8,0.375,True,False,False
ORB,0.013716824352386095,0.007428806703587706,-0.00026119461656944596,8,0.25,True,True,True
QMS,0.01056038362000896,0.004861900868244558,0.0004165949024956303,8,0.625,True,False,False
