TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS,COACH,COACH_PREMIUM,EFF_RATIO,SHOOT_EDGE,TURNOVER_EDGE,REBOUND_SHARE,OFF_VERSATILITY,WIN_RATE,SEED_X_DIVERGENCE,COACH_X_DIVERGENCE,TQS_X_SOS,CONF_TOURNEY_WINS,CONF_TOURNEY_CHAMP
West Virginia,B12,32,13,103.5,99.3,0.6178,45.6,51.1,19.8,21.8,37.1,34.0,40.8,40.0,44.9,48.0,31.6,38.1,64.7,-7.0,,,2013,4.22,105.0,100.8,63.0,-0.042,6.78,1.18,4.2368,123.0,,0.0,Bob Huggins,0.0,1.042296072507553,-5.5,2.0,0.5218002812939523,1289.28,0.40625,,,28.725503999999997,0.0,0
Western Carolina,SC,31,12,99.6,107.4,0.2974,47.6,49.9,18.9,20.4,34.6,35.1,30.9,47.1,46.0,50.5,34.0,32.5,66.5,-13.2,,,2013,,,,,,,,-7.800000000000011,150.0,,0.0,,0.0,0.9273743016759776,-2.299999999999997,1.5,0.4964131994261119,1050.6,0.3870967741935484,,,,0.0,0
Western Illinois,Sum,29,20,94.3,96.0,0.451,51.6,45.8,19.4,19.4,24.7,27.4,39.8,28.3,48.9,43.2,38.7,34.2,58.0,-4.5,,,2013,,,,,,,,-1.7000000000000028,150.0,,0.0,Jim Molinari,0.0,0.9822916666666667,5.800000000000004,0.0,0.47408829174664113,1540.26,0.6896551724137931,,,,0.0,0
Western Kentucky,SB,35,19,100.1,100.4,0.4895,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66.0,-8.4,R64,16.0,2013,,,,,,,,-0.3000000000000113,150.0,0.0,0.0,Ray Harper,0.0,0.997011952191235,0.7000000000000028,-1.3999999999999986,0.5312977099236641,1229.5200000000002,0.5428571428571428,0.0,0.0,,0.0,0
Western Michigan,MAC,34,21,99.8,99.8,0.4998,48.2,46.9,22.3,19.1,35.6,29.1,45.8,35.5,48.2,44.4,32.0,34.5,66.0,-6.1,,,2013,2.63,102.6,100.0,65.0,0.062,-1.42,0.34,2.6052,140.0,,0.0,Steve Hawkins,0.0,1.0,1.3000000000000043,-3.1999999999999993,0.5502318392581144,1465.6,0.6176470588235294,,,-3.699384,0.0,0
Wichita St.,MVC,39,30,110.6,91.0,0.9045,50.0,45.3,19.4,20.0,38.0,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65.0,2.2,F4,9.0,2013,20.31,111.8,91.5,63.8,-0.002,6.71,0.17,20.3108,17.0,4.0,0.0,Gregg Marshall,0.0,1.2153846153846153,4.700000000000003,0.6000000000000014,0.5891472868217055,1237.35,0.7692307692307693,9.210340371976184,0.0,136.285468,0.0,0
William & Mary,CAA,29,12,106.1,108.5,0.4364,53.6,48.9,20.0,16.1,28.5,32.4,37.6,30.1,52.2,49.3,37.2,32.0,63.6,-12.1,,,2013,,,,,,,,-2.4000000000000057,150.0,,0.0,Tony Shaver,0.0,0.9778801843317971,4.700000000000003,-3.8999999999999986,0.46798029556650245,1398.7200000000003,0.41379310344827586,,,,0.0,0
Winthrop,BSth,28,11,94.3,103.9,0.2475,46.6,47.1,21.4,18.2,29.3,30.6,36.1,36.7,46.4,46.1,31.3,32.6,61.1,-12.5,,,2013,,,,,,,,-9.600000000000009,150.0,,0.0,Pat Kelsey,0.0,0.9076034648700673,-0.5,-3.1999999999999993,0.48914858096828046,1129.93,0.39285714285714285,,,,1.0,0
Wisconsin,B10,35,23,107.2,84.3,0.9406,48.6,43.0,15.7,18.0,32.6,26.9,29.7,25.7,48.0,42.8,33.0,28.9,61.9,4.6,R64,5.0,2013,22.57,108.3,85.7,60.4,-0.033,11.08,-3.2,22.5832,12.0,2.0,0.0,Bo Ryan,0.0,1.2716488730723607,5.600000000000001,2.3000000000000007,0.5478991596638656,980.1,0.6571428571428571,3.58351893845611,0.0,250.22185600000003,2.0,0
Wofford,SC,31,12,86.5,94.9,0.2543,44.2,47.6,20.3,22.2,25.9,27.0,27.9,38.3,43.2,48.4,30.7,30.6,63.9,-13.2,,,2013,,,,,,,,-8.400000000000006,150.0,,0.0,Mike Young,0.0,0.9114857744994731,-3.3999999999999986,1.8999999999999986,0.4896030245746692,856.53,0.3870967741935484,,,,0.0,0
Wright St.,Horz,35,22,96.2,91.6,0.6391,49.5,46.8,20.3,24.3,26.4,29.1,33.0,43.5,48.4,47.3,34.6,30.5,63.2,-5.9,,,2013,4.33,98.0,93.7,61.8,0.008,-1.44,-4.86,4.3268,122.0,,0.0,Billy Donlon,0.0,1.0502183406113539,2.700000000000003,4.0,0.47567567567567565,1141.8,0.6285714285714286,,,-6.230592000000001,0.0,0
Wyoming,MWC,32,18,99.7,95.8,0.6121,49.5,48.2,18.7,21.4,23.7,31.4,39.8,33.0,50.8,48.2,31.8,32.3,61.1,-3.4,,,2013,6.53,103.0,96.5,60.0,0.045,5.49,-1.81,6.5120000000000005,100.0,,0.0,Larry Shyatt,0.0,1.0407098121085596,1.2999999999999972,2.6999999999999993,0.4301270417422868,1265.6399999999999,0.5625,,,35.75088,1.0,0
Xavier,A10,31,17,105.1,94.3,0.7765,50.1,46.7,20.4,18.6,34.3,29.0,41.4,33.3,49.2,45.8,35.0,32.1,63.1,-4.0,,,2013,9.55,106.0,96.4,61.8,-0.055,5.45,2.84,9.572,78.0,,0.0,Chris Mack,0.0,1.114528101802757,3.3999999999999986,-1.7999999999999972,0.5418641390205371,1449.0,0.5483870967741935,,,52.1674,0.0,0
Yale,Ivy,29,12,101.5,103.6,0.4413,46.5,52.0,22.2,20.4,35.0,29.8,42.9,40.3,45.0,49.2,33.2,38.3,64.6,-10.2,,,2013,,,,,,,,-2.0999999999999943,150.0,,0.0,James Jones,0.0,0.9797297297297298,-5.5,-1.8000000000000007,0.5401234567901235,1424.28,0.41379310344827586,,,,0.0,0
Youngstown St.,Horz,31,15,102.1,102.5,0.4905,49.1,48.6,17.0,18.1,26.6,31.5,36.0,35.6,46.5,46.5,35.9,35.6,68.5,-9.3,,,2013,,,,,,,,-0.4000000000000057,150.0,,0.0,,0.0,0.9960975609756098,0.5,1.1000000000000014,0.45783132530120485,1292.3999999999999,0.4838709677419355,,,,0.0,0
Abilene Christian,Slnd,21,2,95.1,116.4,0.0889,47.2,56.4,22.3,18.0,24.9,33.8,42.3,48.3,42.3,56.8,37.3,37.1,64.9,-14.1,,,2014,,,,,,,,-21.30000000000001,106.0,,0.0,Joe Golding,0.0,0.8170103092783504,-9.199999999999996,-4.300000000000001,0.424190800681431,1577.7899999999997,0.09523809523809523,,,,0.0,0
Air Force,MWC,28,10,98.9,104.9,0.336,49.5,50.9,20.5,17.8,26.4,30.2,37.1,43.9,49.6,51.1,32.9,33.7,65.5,-10.7,,,2014,,,,,,,,-6.0,106.0,,0.0,Dave Pilipovich,0.0,0.9428026692087702,-1.3999999999999986,-2.6999999999999993,0.46643109540636046,1220.59,0.35714285714285715,,,,0.0,0
Akron,MAC,34,21,105.0,101.7,0.5896,50.3,47.9,19.8,19.5,34.8,32.4,40.4,36.1,49.3,47.1,34.6,33.5,65.7,-4.7,,,2014,,,,,,,,3.299999999999997,106.0,,0.0,Keith Dambrot,0.0,1.0324483775811208,2.3999999999999986,-0.3000000000000007,0.5178571428571429,1397.84,0.6176470588235294,,,,1.0,0
Alabama,SEC,31,12,108.3,98.0,0.7585,49.4,47.0,18.3,19.3,30.0,34.5,44.0,41.3,49.1,47.5,33.3,30.7,63.7,-6.1,,,2014,8.54,107.8,99.2,62.0,-0.091,9.14,5.93,8.5764,86.0,,0.0,Anthony Grant,0.0,1.1051020408163266,2.3999999999999986,1.0,0.46511627906976744,1465.1999999999998,0.3870967741935484,,,78.388296,0.0,0
Alabama A&M,SWAC,28,12,91.6,105.0,0.1731,46.3,45.2,19.8,20.2,27.6,34.2,41.5,54.6,45.0,44.5,32.3,31.4,65.8,-12.4,,,2014,,,,,,,,-13.400000000000006,106.0,,0.0,Willie Hayes,0.0,0.8723809523809524,1.0999999999999943,0.3999999999999986,0.4466019417475728,1340.4499999999998,0.42857142857142855,,,,1.0,0
Alabama St.,SWAC,29,16,95.1,111.7,0.1352,45.5,49.7,17.6,21.4,33.3,34.7,40.7,40.0,47.2,50.9,28.0,31.4,67.5,-9.4,,,2014,,,,,,,,-16.60000000000001,106.0,,0.0,Lewis Jackson,0.0,0.8513876454789614,-4.200000000000003,3.799999999999997,0.48970588235294116,1139.6000000000001,0.5517241379310345,,,,0.0,0
Albany,AE,34,19,102.8,103.1,0.49,48.8,48.3,19.7,18.3,31.9,28.4,42.0,29.1,47.0,46.0,36.0,34.9,63.2,-8.6,R64,16.0,2014,,,,,,,,-0.2999999999999971,106.0,0.0,0.0,Will Brown,-0.1,0.997090203685742,0.5,-1.3999999999999986,0.5290215588723052,1512.0,0.5588235294117647,0.0,-0.0,,0.0,0
Alcorn St.,SWAC,28,9,93.2,110.0,0.1289,45.2,49.5,17.8,19.1,28.6,34.5,41.4,41.4,45.2,48.2,30.1,34.8,63.8,-14.9,,,2014,,,,,,,,-16.799999999999997,106.0,,0.0,Luther Riley,0.0,0.8472727272727273,-4.299999999999997,1.3000000000000007,0.4532488114104596,1246.14,0.32142857142857145,,,,0.0,0
American,Pat,33,20,101.8,97.7,0.6178,55.8,46.4,23.1,19.6,26.5,29.7,35.0,40.7,55.1,45.7,37.9,31.9,61.4,-5.5,R64,15.0,2014,,,,,,,,4.099999999999994,106.0,-1.0,0.0,Mike Brennan,0.0,1.0419651995905834,9.399999999999999,-3.5,0.47153024911032027,1326.5,0.6060606060606061,-2.772588722239781,-0.0,,0.0,0
Appalachian St.,SC,26,5,91.3,109.9,0.1057,44.2,52.7,18.7,18.9,33.4,31.3,41.1,43.1,44.3,51.6,29.4,37.1,66.3,-16.5,,,2014,,,,,,,,-18.60000000000001,106.0,,0.0,Jason Capel,0.0,0.8307552320291173,-8.5,0.1999999999999993,0.5162287480680061,1208.34,0.19230769230769232,,,,0.0,0
Arizona,P12,38,33,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41.0,34.2,50.7,40.2,36.4,32.0,64.3,9.4,E8,1.0,2014,30.11,116.5,86.4,62.8,0.014,9.3,1.62,30.1044,2.0,0.0,0.0,Sean Miller,1.0,1.3295194508009154,9.400000000000006,3.400000000000002,0.5714285714285714,1492.3999999999999,0.868421052631579,0.0,0.0,279.97092,2.0,0
Arizona St.,P12,33,21,110.3,96.4,0.8252,52.4,46.3,16.3,17.0,24.5,30.2,42.5,37.3,48.8,45.3,39.0,32.6,69.3,1.2,R64,10.0,2014,14.82,111.2,96.4,67.4,0.003,7.5,-2.6,14.8188,39.0,0.0,0.0,Herb Sendek,0.0,1.1441908713692945,6.100000000000001,0.6999999999999993,0.4478976234003656,1657.5,0.6363636363636364,0.0,0.0,111.14099999999999,0.0,0
Arkansas,SEC,34,22,110.6,96.4,0.8303,50.1,46.2,15.7,23.2,31.8,36.6,40.2,43.0,48.0,43.6,36.2,34.6,72.8,0.1,,,2014,14.14,111.1,96.9,70.7,-0.033,5.04,-5.18,14.1532,44.0,,0.0,Mike Anderson,0.0,1.1473029045643153,3.8999999999999986,7.5,0.46491228070175433,1455.2400000000002,0.6470588235294118,,,71.332128,0.0,0
Arkansas Little Rock,SB,30,13,100.0,105.4,0.3522,46.0,49.9,19.0,18.3,31.3,30.4,41.5,50.2,45.8,48.3,31.1,34.9,68.4,-9.4,,,2014,,,,,,,,-5.400000000000006,106.0,,0.0,Steve Shields,0.0,0.9487666034155597,-3.8999999999999986,-0.6999999999999993,0.5072933549432739,1290.65,0.43333333333333335,,,,0.0,0
Arkansas Pine Bluff,SWAC,29,11,92.3,107.1,0.1531,47.0,54.0,22.3,23.9,29.2,33.4,41.1,50.7,44.7,53.3,34.1,36.8,66.7,-12.0,,,2014,,,,,,,,-14.799999999999995,106.0,,0.0,George Ivory,0.0,0.861811391223156,-7.0,1.5999999999999979,0.46645367412140576,1401.5100000000002,0.3793103448275862,,,,0.0,0
Arkansas St.,SB,30,17,105.9,104.5,0.5385,52.3,48.4,17.7,18.2,26.9,31.5,42.4,36.1,48.3,48.3,38.6,32.5,68.5,-7.3,,,2014,,,,,,,,1.4000000000000057,106.0,,0.0,John Brady,0.0,1.0133971291866029,3.8999999999999986,0.5,0.4606164383561644,1636.64,0.5666666666666667,,,,0.0,0
Army,Pat,30,14,104.7,109.7,0.369,51.1,52.4,18.9,19.9,32.0,33.5,32.6,35.3,51.4,49.7,33.8,39.0,68.9,-10.6,,,2014,,,,,,,,-5.0,106.0,,0.0,Zach Spiker,0.0,0.9544211485870556,-1.2999999999999972,1.0,0.48854961832061067,1101.8799999999999,0.4666666666666667,,,,1.0,0
Auburn,SEC,30,14,110.5,103.9,0.6706,48.9,49.8,17.9,18.8,31.7,33.1,44.1,48.7,50.0,45.4,31.0,38.7,67.9,-5.4,,,2014,,,,,,,,6.599999999999994,106.0,,0.0,Tony Barbee,0.0,1.0635226179018287,-0.8999999999999986,0.9000000000000021,0.48919753086419754,1367.1000000000001,0.4666666666666667,,,,0.0,0
Austin Peay,OVC,28,10,100.6,110.4,0.2559,52.6,53.3,21.4,19.9,29.6,35.1,49.3,34.9,53.5,52.7,33.5,36.2,70.9,-13.8,,,2014,,,,,,,,-9.800000000000011,106.0,,0.0,Dave Loos,0.0,0.911231884057971,-0.6999999999999957,-1.5,0.4574961360123648,1651.55,0.35714285714285715,,,,0.0,0
BYU,WCC,34,22,113.8,100.5,0.8078,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,73.0,0.6,R64,10.0,2014,13.77,114.5,100.7,70.8,-0.004,6.59,8.43,13.7716,49.0,-3.0,0.0,Dave Rose,0.0,1.1323383084577114,1.5,1.3000000000000007,0.5496062992125984,1756.44,0.6470588235294118,-7.193685818395112,-0.0,90.75484399999999,2.0,0
Ball St.,MAC,28,3,96.7,108.3,0.2137,46.6,51.5,25.0,16.3,34.0,30.4,42.6,45.4,46.3,52.3,31.5,33.1,67.4,-17.9,,,2014,,,,,,,,-11.599999999999994,106.0,,0.0,James Whitford,0.0,0.8928901200369345,-4.899999999999999,-8.7,0.5279503105590062,1341.9,0.10714285714285714,,,,0.0,0
Baylor,B12,36,24,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32.0,44.8,32.3,48.3,46.4,38.0,35.6,62.9,3.1,S16,6.0,2014,19.39,118.9,99.5,61.3,0.012,10.31,-0.36,19.3852,26.0,-1.0,0.0,Scott Drew,0.0,1.1979899497487438,2.5999999999999943,-2.0,0.5561719833564495,1702.3999999999999,0.6666666666666666,-1.9459101490553132,-0.0,199.86141200000003,3.0,0
Belmont,OVC,35,25,113.4,105.4,0.6977,57.6,52.0,18.6,20.5,28.2,33.3,41.2,42.9,56.9,52.1,39.0,34.5,69.3,-2.0,,,2014,7.1,113.9,106.8,67.7,0.058,-1.37,5.34,7.0767999999999995,97.0,,0.0,Rick Byrd,0.0,1.0759013282732448,5.600000000000001,1.8999999999999986,0.4585365853658536,1606.8000000000002,0.7142857142857143,,,-9.695216,1.0,0
Bethune Cookman,MEAC,30,5,96.1,117.1,0.0929,45.7,51.7,19.7,19.7,31.8,38.7,34.1,53.4,41.3,51.1,35.8,35.3,62.4,-20.5,,,2014,,,,,,,,-21.0,106.0,,0.0,Gravelle Craig,0.0,0.82066609735269,-6.0,0.0,0.451063829787234,1220.78,0.16666666666666666,,,,0.0,0
Binghamton,AE,30,7,92.3,109.6,0.1225,43.9,52.8,21.5,19.8,29.1,32.4,44.2,40.8,41.5,49.6,32.0,38.5,66.2,-18.0,,,2014,,,,,,,,-17.299999999999997,106.0,,0.0,Tommy Dempsey,0.0,0.8421532846715328,-8.899999999999999,-1.6999999999999993,0.4731707317073171,1414.4,0.23333333333333334,,,,0.0,0
Boise St.,MWC,31,18,114.3,103.7,0.7546,51.2,51.3,15.0,17.0,32.1,26.4,36.6,42.3,49.8,50.4,35.9,35.3,65.5,-3.3,,,2014,10.53,114.6,104.1,63.9,-0.056,3.28,0.38,10.5524,73.0,,0.0,Leon Rice,0.0,1.1022179363548699,-0.09999999999999432,2.0,0.5487179487179488,1313.94,0.5806451612903226,,,34.611872,0.0,0
Boston College,ACC,31,7,114.5,109.8,0.618,52.1,52.1,17.4,15.0,27.1,35.1,44.5,41.5,51.7,50.3,35.1,37.9,63.2,-10.0,,,2014,,,,,,,,4.700000000000003,106.0,,0.0,Steve Donahue,0.0,1.0428051001821494,0.0,-2.3999999999999986,0.43569131832797425,1561.95,0.22580645161290322,,,,0.0,0
Boston University,Pat,35,24,107.0,101.4,0.649,52.3,49.8,17.6,20.4,28.1,29.8,29.9,31.5,50.9,48.2,36.3,35.4,66.8,-2.6,,,2014,,,,,,,,5.599999999999994,106.0,,0.0,Joe Jones,0.0,1.0552268244575935,2.5,2.799999999999997,0.4853195164075993,1085.37,0.6857142857142857,,,,0.0,0
Bowling Green,MAC,31,11,92.0,97.1,0.3495,45.5,47.3,22.1,20.5,30.4,31.2,36.3,38.5,46.4,44.3,28.3,35.6,66.6,-12.7,,,2014,,,,,,,,-5.099999999999994,106.0,,0.0,Louis Orr,0.0,0.9474768280123584,-1.7999999999999972,-1.6000000000000014,0.4935064935064935,1027.29,0.3548387096774194,,,,0.0,0
Bradley,MVC,32,12,100.0,103.3,0.4081,46.4,50.0,18.7,20.2,32.3,31.1,36.5,43.4,45.7,50.7,32.2,32.6,64.5,-12.6,,,2014,,,,,,,,-3.299999999999997,106.0,,0.0,Geno Ford,0.0,0.968054211035818,-3.6000000000000014,1.5,0.5094637223974763,1175.3000000000002,0.375,,,,0.0,0
Brown,Ivy,28,14,100.1,100.2,0.4944,48.2,44.6,18.7,16.7,30.5,27.8,35.6,37.3,44.7,44.1,37.7,30.6,70.3,-7.6,,,2014,,,,,,,,-0.1000000000000085,106.0,,0.0,Mike Martin Brn,0.0,0.9990019960079839,3.6000000000000014,-2.0,0.5231560891938251,1342.1200000000001,0.5,,,,0.0,0
Bryant,NEC,31,17,104.7,108.4,0.4008,52.5,50.0,18.1,18.0,29.0,34.0,37.1,32.8,53.8,47.5,33.2,36.4,67.6,-8.2,,,2014,,,,,,,,-3.700000000000003,106.0,,0.0,Tim O'Shea,0.0,0.9658671586715867,2.5,-0.10000000000000142,0.4603174603174603,1231.7200000000003,0.5483870967741935,,,,0.0,0
Bucknell,Pat,30,16,102.7,101.2,0.5434,48.9,47.9,16.8,14.4,29.0,24.4,31.7,31.8,44.6,46.5,39.0,33.9,64.7,-7.9,,,2014,,,,,,,,1.5,106.0,,0.0,David Paulsen,0.0,1.0148221343873518,1.0,-2.4000000000000004,0.5430711610486891,1236.3,0.5333333333333333,,,,0.0,0
Buffalo,MAC,28,18,110.1,103.6,0.6667,50.2,47.1,18.5,19.2,35.1,31.4,41.8,36.3,50.0,47.6,33.7,30.6,68.1,-5.0,,,2014,6.36,109.7,103.4,66.6,-0.033,-2.39,-1.24,6.373200000000001,101.0,,0.0,Bobby Hurley,0.0,1.0627413127413128,3.1000000000000014,0.6999999999999993,0.5278195488721805,1408.66,0.6428571428571429,,,-15.231948000000003,0.0,0
Butler,BE,30,13,105.9,98.3,0.7022,47.3,50.1,15.3,17.7,30.4,28.5,37.7,31.4,47.3,51.4,31.4,31.4,63.8,-5.6,,,2014,6.74,106.0,99.3,61.9,-0.056,6.79,-3.05,6.7624,99.0,,0.0,Brandon Miller,0.0,1.0773143438453714,-2.8000000000000043,2.3999999999999986,0.5161290322580645,1183.78,0.43333333333333335,,,45.916696,0.0,0
Cal Poly,BW,32,12,102.0,104.4,0.4356,46.0,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33.0,33.8,60.4,-10.7,R64,16.0,2014,,,,,,,,-2.4000000000000057,106.0,0.0,0.0,Joe Callero,0.0,0.9770114942528735,-3.299999999999997,3.400000000000002,0.48205928237129486,1095.6000000000001,0.375,0.0,0.0,,3.0,1
Cal St. Bakersfield,WAC,31,12,100.0,105.8,0.343,49.5,49.0,21.0,19.0,34.3,31.5,38.7,52.5,45.4,50.0,38.6,31.4,65.4,-14.3,,,2014,,,,,,,,-5.799999999999997,106.0,,0.0,Rod Barnes,0.0,0.945179584120983,0.5,-2.0,0.5212765957446809,1493.8200000000002,0.3870967741935484,,,,0.0,0
Cal St. Fullerton,BW,31,11,99.9,108.0,0.2907,48.1,50.7,17.8,17.0,29.1,29.1,38.1,45.9,47.3,50.6,33.1,34.0,67.3,-13.8,,,2014,,,,,,,,-8.099999999999994,106.0,,0.0,Dedrique Taylor,0.0,0.925,-2.6000000000000014,-0.8000000000000007,0.5,1261.1100000000001,0.3548387096774194,,,,0.0,0
Cal St. Northridge,BW,33,15,105.1,111.7,0.3323,48.9,52.1,18.2,17.3,33.0,31.2,48.8,41.9,47.3,52.3,36.4,34.6,68.9,-12.3,,,2014,,,,,,,,-6.6000000000000085,106.0,,0.0,Reggie Theus,0.0,0.9409131602506714,-3.200000000000003,-0.8999999999999986,0.514018691588785,1776.32,0.45454545454545453,,,,0.0,0
California,P12,35,21,110.9,99.8,0.7717,50.7,46.9,15.1,15.0,29.5,29.8,35.6,33.7,50.2,44.3,34.5,35.3,66.4,-0.6,,,2014,12.0,111.7,99.7,64.6,0.016,7.57,-0.27,11.9936,60.0,,0.0,Mike Montgomery,0.0,1.1112224448897796,3.8000000000000043,-0.09999999999999964,0.4974704890387859,1228.2,0.6,,,90.79155200000001,0.0,0
Campbell,BSth,28,9,97.3,114.5,0.1336,51.3,52.0,20.3,16.0,31.0,36.2,27.4,37.0,50.2,51.7,35.1,35.1,63.8,-14.8,,,2014,,,,,,,,-17.200000000000003,106.0,,0.0,Kevin Mcgeehan,0.0,0.8497816593886462,-0.7000000000000028,-4.300000000000001,0.4613095238095238,961.74,0.32142857142857145,,,,0.0,0
Canisius,MAAC,33,21,111.8,109.0,0.5713,52.7,50.9,16.5,19.6,31.8,36.3,38.0,35.3,49.9,51.4,38.6,33.4,67.0,-4.0,,,2014,,,,,,,,2.799999999999997,106.0,,0.0,Jim Baron,0.0,1.0256880733944953,1.8000000000000043,3.1000000000000014,0.46696035242290757,1466.8,0.6363636363636364,,,,1.0,0
Central Arkansas,Slnd,27,6,95.5,112.4,0.133,49.3,52.0,20.3,19.2,28.0,37.8,38.2,49.0,46.9,52.0,36.7,34.5,72.2,-16.5,,,2014,,,,,,,,-16.900000000000006,106.0,,0.0,Clarence Finley,0.0,0.849644128113879,-2.700000000000003,-1.1000000000000014,0.425531914893617,1401.9400000000003,0.2222222222222222,,,,0.0,0
Central Connecticut,NEC,29,10,97.2,111.1,0.1759,48.1,50.9,19.9,18.2,28.8,36.4,29.6,34.2,47.3,48.8,33.5,36.6,70.2,-14.6,,,2014,,,,,,,,-13.899999999999991,106.0,,0.0,Howie Dickenman,0.0,0.874887488748875,-2.799999999999997,-1.6999999999999993,0.44171779141104295,991.6,0.3448275862068966,,,,0.0,0
Central Michigan,MAC,29,8,106.1,116.8,0.2493,49.3,57.0,16.5,19.5,29.0,32.1,37.1,39.7,50.8,58.3,31.6,36.5,65.6,-15.8,,,2014,,,,,,,,-10.700000000000005,106.0,,0.0,Keno Davis,0.0,0.908390410958904,-7.700000000000003,3.0,0.4746317512274959,1172.3600000000001,0.27586206896551724,,,,0.0,0
Charleston Southern,BSth,27,9,105.6,109.7,0.391,51.3,51.9,16.1,16.9,29.9,29.6,34.8,38.3,48.3,47.4,37.0,40.2,67.5,-12.7,,,2014,,,,,,,,-4.1000000000000085,106.0,,0.0,,0.0,0.9626253418413855,-0.6000000000000014,0.7999999999999972,0.5025210084033613,1287.6,0.3333333333333333,,,,0.0,0
Charlotte,CUSA,31,17,102.0,102.4,0.4892,49.7,49.2,21.0,17.4,33.8,29.7,39.5,36.1,48.2,49.2,35.6,32.8,69.6,-6.9,,,2014,,,,,,,,-0.4000000000000057,106.0,,0.0,Alan Major,0.0,0.99609375,0.5,-3.6000000000000014,0.5322834645669291,1406.2,0.5483870967741935,,,,1.0,0
Chattanooga,SC,30,15,99.9,109.8,0.2511,47.4,51.5,18.9,17.9,34.1,32.4,44.6,36.1,46.7,51.7,32.5,34.0,68.8,-9.7,,,2014,,,,,,,,-9.899999999999991,106.0,,0.0,Will Wade,0.0,0.9098360655737706,-4.100000000000001,-1.0,0.5127819548872181,1449.5,0.5,,,,0.0,0
Chicago St.,WAC,30,11,97.4,109.0,0.215,46.8,52.5,17.1,22.1,27.0,37.0,33.8,53.6,45.1,52.1,33.3,35.5,69.5,-12.6,,,2014,,,,,,,,-11.599999999999994,106.0,,0.0,Tracy Dildy,0.0,0.8935779816513763,-5.700000000000003,5.0,0.421875,1125.5399999999997,0.36666666666666664,,,,0.0,0
Cincinnati,Amer,34,27,108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36.0,46.6,43.2,33.5,32.0,63.5,5.3,R64,5.0,2014,19.24,109.7,90.4,61.1,0.036,4.72,-4.57,19.2256,27.0,-2.0,0.0,Mick Cronin,-0.6,1.1879781420765028,2.9000000000000057,5.0,0.5476190476190476,1296.45,0.7941176470588235,-3.58351893845611,1.2,90.744832,1.0,0
Clemson,ACC,36,23,106.7,93.9,0.8116,47.4,43.9,18.2,17.3,33.8,32.5,36.1,28.6,47.9,44.3,31.0,28.5,60.0,0.2,,,2014,13.35,107.1,93.7,58.7,0.008,5.98,-6.67,13.3468,51.0,,0.0,Brad Brownell,0.0,1.1363152289669862,3.5,-0.8999999999999986,0.5098039215686274,1119.1000000000001,0.6388888888888888,,,79.81386400000001,1.0,0
Cleveland St.,Horz,31,19,109.3,102.3,0.6813,52.7,47.8,19.3,19.3,31.9,31.5,37.5,44.3,48.8,46.6,40.2,33.4,64.4,-4.2,,,2014,8.67,110.6,102.0,62.4,-0.052,0.62,1.7,8.6908,85.0,,0.0,Gary Waters,0.0,1.0684261974584555,4.900000000000006,0.0,0.5031545741324921,1507.5,0.6129032258064516,,,5.3882959999999995,0.0,0
Coastal Carolina,BSth,31,18,98.3,102.0,0.3946,48.0,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,-7.7,R64,16.0,2014,,,,,,,,-3.700000000000003,106.0,0.0,0.0,Cliff Ellis,0.0,0.9637254901960784,0.5,-1.8999999999999986,0.5385826771653544,1258.3600000000001,0.5806451612903226,0.0,0.0,,0.0,0
Colgate,Pat,30,12,108.6,108.4,0.5041,56.4,50.6,18.1,16.2,23.6,28.6,28.1,34.8,54.0,50.6,40.1,33.8,64.2,-12.1,,,2014,,,,,,,,0.1999999999999886,106.0,,0.0,Matt Langel,0.0,1.0018450184501844,5.799999999999997,-1.9000000000000021,0.4521072796934866,1126.8100000000002,0.4,,,,1.0,0
College of Charleston,CAA,31,13,98.7,99.3,0.4826,47.3,45.5,20.3,15.1,34.8,27.9,34.4,43.1,44.9,43.4,34.5,34.2,62.6,-11.6,,,2014,,,,,,,,-0.5999999999999943,106.0,,0.0,,0.0,0.9939577039274925,1.7999999999999972,-5.200000000000001,0.5550239234449761,1186.8,0.41935483870967744,,,,0.0,0
