TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS,COACH,COACH_PREMIUM,EFF_RATIO,SHOOT_EDGE,TURNOVER_EDGE,REBOUND_SHARE,OFF_VERSATILITY,WIN_RATE,SEED_X_DIVERGENCE,COACH_X_DIVERGENCE,TQS_X_SOS,CONF_TOURNEY_WINS,CONF_TOURNEY_CHAMP
Arkansas St.,SB,30,18,96.8,95.8,0.5312,45.7,46.7,18.9,23.1,33.5,30.3,44.2,35.7,45.6,45.0,30.7,33.5,65.5,-7.8,,,2013,1.74,98.8,97.1,64.2,-0.033,-5.65,-7.01,1.7532,148.0,,0.0,John Brady,0.0,1.010438413361169,-1.0,4.200000000000003,0.5250783699059561,1356.94,0.6,,,-9.90558,0.0,0
Army,Pat,30,15,104.2,103.3,0.5239,51.7,48.7,20.7,18.6,31.7,29.7,36.9,36.8,49.2,46.0,37.1,35.8,68.3,-10.1,,,2013,,,,,,,,0.9000000000000057,150.0,,0.0,Zach Spiker,0.0,1.0087124878993223,3.0,-2.099999999999998,0.5162866449511401,1368.99,0.5,,,,1.0,0
Auburn,SEC,32,9,97.0,99.4,0.4298,46.0,49.7,19.7,19.8,29.2,29.9,35.3,43.0,45.7,48.3,31.1,34.5,67.1,-13.4,,,2013,,,,,,,,-2.4000000000000057,150.0,,0.0,Tony Barbee,0.0,0.9758551307847082,-3.700000000000003,0.10000000000000142,0.4940778341793571,1097.83,0.28125,,,,0.0,0
Austin Peay,OVC,29,6,96.7,110.2,0.183,51.7,52.0,23.2,18.1,28.9,35.3,37.4,29.3,48.8,51.8,38.1,34.9,69.2,-18.5,,,2013,,,,,,,,-13.5,150.0,,0.0,Dave Loos,0.0,0.8774954627949183,-0.29999999999999716,-5.099999999999998,0.45015576323987544,1424.94,0.20689655172413793,,,,0.0,0
BYU,WCC,35,23,109.1,95.8,0.8165,50.2,48.1,17.0,19.3,32.8,27.7,36.0,37.6,50.2,47.1,33.5,33.3,71.4,-2.5,,,2013,13.04,110.2,97.2,69.9,-0.016,3.15,0.57,13.046399999999998,57.0,,0.0,Dave Rose,0.0,1.138830897703549,2.1000000000000014,2.3000000000000007,0.5421487603305785,1206.0,0.6571428571428571,,,41.09615999999999,0.0,0
Ball St.,MAC,30,15,98.5,105.5,0.3133,48.3,50.8,23.1,19.7,35.9,29.5,46.6,36.2,47.9,50.0,32.7,34.9,66.1,-9.7,,,2013,,,,,,,,-7.0,150.0,,0.0,Billy Taylor,0.0,0.933649289099526,-2.5,-3.400000000000002,0.5489296636085627,1523.8200000000002,0.5,,,,0.0,0
Baylor,B12,36,22,112.4,95.3,0.8698,51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,51.1,44.7,34.9,32.2,67.6,-2.5,,,2013,17.89,114.3,96.4,66.4,-0.09,6.92,1.45,17.926000000000002,28.0,,0.0,Scott Drew,0.0,1.1794333683105982,5.899999999999999,1.5,0.5052790346907994,1266.87,0.6111111111111112,,,124.04792000000002,0.0,0
Belmont,OVC,31,24,108.9,96.2,0.8064,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,67.4,0.1,R64,11.0,2013,14.92,111.6,96.6,65.9,0.013,-0.74,5.39,14.9148,43.0,0.0,0.0,Rick Byrd,0.0,1.132016632016632,8.5,5.399999999999999,0.46478873239436613,1220.16,0.7741935483870968,0.0,0.0,-11.036952,2.0,1
Bethune Cookman,MEAC,32,12,96.0,107.5,0.2134,45.9,51.0,18.4,22.4,31.3,32.1,39.0,46.8,45.6,50.9,31.0,34.1,65.9,-15.0,,,2013,,,,,,,,-11.5,150.0,,0.0,Gravelle Craig,0.0,0.8930232558139535,-5.100000000000001,4.0,0.49369085173501576,1209.0,0.375,,,,0.0,0
Binghamton,AE,29,2,85.2,107.7,0.0632,41.8,51.4,23.2,16.8,26.5,30.3,33.6,31.4,41.3,49.8,28.6,35.9,66.4,-21.7,,,2013,,,,,,,,-22.5,150.0,,0.0,Tommy Dempsey,0.0,0.7910863509749304,-9.600000000000001,-6.399999999999999,0.46654929577464793,960.96,0.06896551724137931,,,,0.0,0
