year,region,round,round_name,team_a,team_b,seed_a,seed_b,prob_a,prob_b,predicted_winner,actual_winner,correct
2025,South,0,First Four,VCU,San Diego St.,11,11,0.7108,0.2892,VCU,,
2025,South,0,First Four,Saint Francis,Alabama St.,16,16,0.3847,0.6153,Alabama St.,,
2025,East,0,First Four,North Carolina,Drake,11,11,0.8418,0.1582,North Carolina,,
2025,East,0,First Four,American,Mount St. Mary's,16,16,0.5467,0.4533,American,,
2025,West,0,First Four,Xavier,Texas,11,11,0.5261,0.4739,Xavier,,
2025,West,0,First Four,Norfolk St.,SIU Edwardsville,16,16,0.5723,0.4277,Norfolk St.,,
2025,South,1,R64,Auburn,Alabama St.,1,16,0.9937,0.0063,Auburn,,
2025,South,1,R64,Louisville,Creighton,8,9,0.5666,0.4334,Louisville,,
2025,South,1,R64,Michigan,UC San Diego,5,12,0.5328,0.4672,Michigan,,
2025,South,1,R64,Texas A&M,Yale,4,13,0.8654,0.1346,Texas A&M,,
2025,South,1,R64,Mississippi,VCU,6,11,0.6222,0.3778,Mississippi,,
2025,South,1,R64,Iowa St.,Lipscomb,3,14,0.8853,0.1147,Iowa St.,,
2025,South,1,R64,Marquette,New Mexico,7,10,0.6436,0.3564,Marquette,,
2025,South,1,R64,Michigan St.,Bryant,2,15,0.953,0.047,Michigan St.,,
2025,South,2,R32,Auburn,Louisville,1,8,0.8218,0.1782,Auburn,,
2025,South,2,R32,Michigan,Texas A&M,5,4,0.4837,0.5163,Texas A&M,,
2025,South,2,R32,Mississippi,Iowa St.,6,3,0.5061,0.4939,Mississippi,,
2025,South,2,R32,Marquette,Michigan St.,7,2,0.3999,0.6001,Michigan St.,,
2025,South,3,S16,Auburn,Texas A&M,1,4,0.8004,0.1996,Auburn,,
2025,South,3,S16,Mississippi,Michigan St.,6,2,0.4725,0.5275,Michigan St.,,
2025,South,4,E8,Auburn,Michigan St.,1,2,0.7472,0.2528,Auburn,,
2025,East,1,R64,Duke,American,1,16,0.994,0.006,Duke,,
2025,East,1,R64,Mississippi St.,Baylor,8,9,0.3874,0.6126,Baylor,,
2025,East,1,R64,Oregon,Liberty,5,12,0.7418,0.2582,Oregon,,
2025,East,1,R64,Arizona,Akron,4,13,0.959,0.041,Arizona,,
2025,East,1,R64,BYU,North Carolina,6,11,0.3877,0.6123,North Carolina,,
2025,East,1,R64,Wisconsin,Montana,3,14,0.9519,0.0481,Wisconsin,,
2025,East,1,R64,Saint Mary's,Vanderbilt,7,10,0.6624,0.3376,Saint Mary's,,
2025,East,1,R64,Alabama,Robert Morris,2,15,0.9774,0.0226,Alabama,,
2025,East,2,R32,Duke,Baylor,1,9,0.8415,0.1585,Duke,,
2025,East,2,R32,Oregon,Arizona,5,4,0.1906,0.8094,Arizona,,
2025,East,2,R32,North Carolina,Wisconsin,11,3,0.5193,0.4807,North Carolina,,
2025,East,2,R32,Saint Mary's,Alabama,7,2,0.1828,0.8172,Alabama,,
2025,East,3,S16,Duke,Arizona,1,4,0.7216,0.2784,Duke,,
2025,East,3,S16,North Carolina,Alabama,11,2,0.2911,0.7089,Alabama,,
2025,East,4,E8,Duke,Alabama,1,2,0.6286,0.3714,Duke,,
2025,West,1,R64,Florida,Norfolk St.,1,16,0.991,0.009,Florida,,
2025,West,1,R64,Connecticut,Oklahoma,8,9,0.5132,0.4868,Connecticut,,
2025,West,1,R64,Memphis,McNeese St.,5,12,0.3547,0.6453,McNeese St.,,
2025,West,1,R64,Maryland,High Point,4,13,0.9423,0.0577,Maryland,,
2025,West,1,R64,Missouri,Xavier,6,11,0.7389,0.2611,Missouri,,
2025,West,1,R64,Texas Tech,Troy,3,14,0.9379,0.0621,Texas Tech,,
2025,West,1,R64,Kansas,Arkansas,7,10,0.6422,0.3578,Kansas,,
2025,West,1,R64,St. John's,Nebraska Omaha,2,15,0.9155,0.0845,St. John's,,
2025,West,2,R32,Florida,Connecticut,1,8,0.8998,0.1002,Florida,,
2025,West,2,R32,McNeese St.,Maryland,12,4,0.0727,0.9273,Maryland,,
2025,West,2,R32,Missouri,Texas Tech,6,3,0.4854,0.5146,Texas Tech,,
2025,West,2,R32,Kansas,St. John's,7,2,0.6474,0.3526,Kansas,,
2025,West,3,S16,Florida,Maryland,1,4,0.7401,0.2599,Florida,,
2025,West,3,S16,Texas Tech,Kansas,3,7,0.532,0.468,Texas Tech,,
2025,West,4,E8,Florida,Texas Tech,1,3,0.7878,0.2122,Florida,,
2025,Midwest,1,R64,Houston,SIU Edwardsville,1,16,0.9923,0.0077,Houston,,
2025,Midwest,1,R64,Gonzaga,Georgia,8,9,0.8597,0.1403,Gonzaga,,
2025,Midwest,1,R64,Clemson,Colorado St.,5,12,0.5065,0.4935,Clemson,,
2025,Midwest,1,R64,Purdue,Grand Canyon,4,13,0.9486,0.0514,Purdue,,
2025,Midwest,1,R64,Illinois,VCU,6,11,0.6978,0.3022,Illinois,,
2025,Midwest,1,R64,Kentucky,UNC Wilmington,3,14,0.9346,0.0654,Kentucky,,
2025,Midwest,1,R64,UCLA,Utah St.,7,10,0.8768,0.1232,UCLA,,
2025,Midwest,1,R64,Tennessee,Wofford,2,15,0.9715,0.0285,Tennessee,,
2025,Midwest,2,R32,Houston,Gonzaga,1,8,0.6117,0.3883,Houston,,
2025,Midwest,2,R32,Clemson,Purdue,5,4,0.3366,0.6634,Purdue,,
2025,Midwest,2,R32,Illinois,Kentucky,6,3,0.527,0.473,Illinois,,
2025,Midwest,2,R32,UCLA,Tennessee,7,2,0.2801,0.7199,Tennessee,,
2025,Midwest,3,S16,Houston,Purdue,1,4,0.7709,0.2291,Houston,,
2025,Midwest,3,S16,Illinois,Tennessee,6,2,0.3408,0.6592,Tennessee,,
2025,Midwest,4,E8,Houston,Tennessee,1,2,0.6203,0.3797,Houston,,
2025,Final Four,5,F4,Auburn,Duke,1,1,0.3998,0.6002,Duke,,
2025,Final Four,5,F4,Florida,Houston,1,1,0.5328,0.4672,Florida,,
2025,Championship,6,Champ,Duke,Florida,1,1,0.495,0.505,Florida,,
