,Akron,Alabama,Alabama St.,American,Arizona,Arkansas,Auburn,BYU,Baylor,Bryant,Clemson,Colorado St.,Connecticut,Creighton,Drake,Duke,Florida,Georgia,Gonzaga,Grand Canyon,High Point,Houston,Illinois,Iowa St.,Kansas,Kentucky,Liberty,Lipscomb,Louisville,Marquette,Maryland,McNeese St.,Memphis,Michigan,Michigan St.,Mississippi,Mississippi St.,Missouri,Montana,Mount St. Mary's,Nebraska Omaha,New Mexico,Norfolk St.,North Carolina,Oklahoma,Oregon,Purdue,Robert Morris,SIU Edwardsville,Saint Francis,Saint Mary's,San Diego St.,St. John's,Tennessee,Texas,Texas A&M,Texas Tech,Troy,UC San Diego,UCLA,UNC Wilmington,Utah St.,VCU,Vanderbilt,Wisconsin,Wofford,Xavier,Yale
Purdue,0.9339,0.3584,0.9824,0.9774,0.4706,0.6382,0.243,0.6231,0.5962,0.9531,0.5966,0.6836,0.6475,0.6678,0.8156,0.1629,0.2139,0.719,0.2383,0.9351,0.9113,0.2113,0.4951,0.4618,0.5355,0.5594,0.8892,0.9052,0.5716,0.6574,0.4152,0.8862,0.9228,0.5914,0.4095,0.5594,0.6833,0.5168,0.9631,0.9766,0.9582,0.7373,0.9598,0.5415,0.7334,0.6679,0.5,0.9418,0.9706,0.9888,0.577,0.8155,0.5499,0.3425,0.7563,0.5846,0.4252,0.9202,0.6348,0.4851,0.9336,0.8855,0.5988,0.7951,0.4642,0.9322,0.723,0.8915
Robert Morris,0.466,0.0334,0.7756,0.7276,0.0521,0.0983,0.0195,0.0927,0.0837,0.5571,0.0838,0.1178,0.102,0.1105,0.2147,0.0119,0.0165,0.1366,0.019,0.4709,0.3883,0.0163,0.0572,0.0504,0.0665,0.0728,0.3316,0.3713,0.0762,0.1061,0.042,0.325,0.425,0.0821,0.0411,0.0728,0.1177,0.062,0.6174,0.7207,0.5861,0.1479,0.5964,0.068,0.1454,0.1106,0.0582,0.5,0.6709,0.8452,0.0778,0.2146,0.0702,0.0312,0.161,0.08,0.0437,0.4163,0.097,0.055,0.4652,0.3235,0.0845,0.1935,0.0508,0.4594,0.139,0.3369
SIU Edwardsville,0.2997,0.0167,0.629,0.5671,0.0262,0.0508,0.0096,0.0477,0.0429,0.3815,0.0429,0.0615,0.0527,0.0574,0.1183,0.0059,0.0082,0.072,0.0094,0.3039,0.2374,0.0081,0.0289,0.0254,0.0338,0.0371,0.1957,0.2246,0.0389,0.055,0.0211,0.191,0.266,0.042,0.0206,0.0371,0.0614,0.0314,0.4418,0.5586,0.4099,0.0784,0.4202,0.0346,0.077,0.0575,0.0294,0.3291,0.5,0.728,0.0397,0.1182,0.0357,0.0156,0.086,0.0409,0.0219,0.2591,0.0501,0.0278,0.299,0.1899,0.0433,0.1053,0.0256,0.2942,0.0733,0.1995
Saint Francis,0.1379,0.0063,0.3877,0.3286,0.01,0.0196,0.0036,0.0184,0.0165,0.1873,0.0165,0.0239,0.0204,0.0223,0.0477,0.0022,0.0031,0.0282,0.0035,0.1402,0.1042,0.003,0.011,0.0096,0.0129,0.0142,0.0833,0.0976,0.0149,0.0213,0.008,0.0811,0.1193,0.0161,0.0078,0.0142,0.0239,0.012,0.2282,0.321,0.206,0.0308,0.213,0.0132,0.0302,0.0223,0.0112,0.1548,0.272,0.5,0.0152,0.0477,0.0136,0.0059,0.034,0.0157,0.0083,0.1155,0.0193,0.0106,0.1374,0.0805,0.0166,0.0421,0.0097,0.1347,0.0287,0.0852
Saint Mary's,0.9119,0.2905,0.9762,0.9694,0.3946,0.5639,0.1906,0.5479,0.5199,0.9372,0.5202,0.613,0.5738,0.5958,0.7643,0.1249,0.1664,0.6523,0.1866,0.9135,0.8828,0.1642,0.4183,0.3862,0.4581,0.4821,0.8547,0.8751,0.4945,0.5846,0.3423,0.851,0.8976,0.5149,0.3371,0.4821,0.6127,0.4395,0.9503,0.9684,0.9438,0.673,0.946,0.4641,0.6686,0.5958,0.423,0.9222,0.9603,0.9848,0.5,0.7642,0.4725,0.2764,0.6947,0.5079,0.3516,0.8943,0.5604,0.4086,0.9116,0.8501,0.5225,0.74,0.3884,0.9098,0.6568,0.8577
San Diego St.,0.7616,0.1122,0.9267,0.9072,0.1674,0.2852,0.0677,0.2722,0.2504,0.8215,0.2507,0.3283,0.2935,0.3126,0.5002,0.0422,0.058,0.3666,0.0661,0.7651,0.6991,0.0571,0.1816,0.1626,0.2069,0.2232,0.6449,0.6837,0.2319,0.3028,0.1384,0.638,0.7301,0.2467,0.1356,0.2231,0.3281,0.1948,0.8552,0.9042,0.8383,0.3884,0.8439,0.2109,0.3837,0.3127,0.1845,0.7854,0.8818,0.9523,0.2358,0.5,0.2166,0.1054,0.4125,0.2415,0.1434,0.723,0.2823,0.1757,0.7609,0.6363,0.2524,0.4675,0.1639,0.7567,0.3713,0.6503
St. John's,0.9204,0.3137,0.9786,0.9725,0.4212,0.5908,0.2081,0.575,0.5472,0.9433,0.5476,0.6388,0.6005,0.6219,0.7836,0.1374,0.1822,0.6768,0.2039,0.9218,0.8937,0.1798,0.4453,0.4126,0.4855,0.5096,0.8679,0.8866,0.522,0.611,0.3675,0.8644,0.9073,0.5423,0.3621,0.5096,0.6385,0.4668,0.9553,0.9716,0.9494,0.6968,0.9514,0.4915,0.6925,0.622,0.4501,0.9298,0.9643,0.9864,0.5275,0.7834,0.5,0.2989,0.7175,0.5353,0.3771,0.9042,0.5873,0.4354,0.9201,0.8636,0.5499,0.7606,0.4149,0.9184,0.6812,0.8706
Tennessee,0.9644,0.5174,0.9908,0.9881,0.6305,0.772,0.3813,0.7604,0.7392,0.975,0.7395,0.8057,0.779,0.7942,0.8946,0.272,0.3431,0.8308,0.3752,0.9651,0.9517,0.3396,0.6531,0.6222,0.6887,0.7091,0.939,0.9483,0.7192,0.7865,0.5767,0.9373,0.9582,0.7353,0.571,0.709,0.8055,0.6724,0.9804,0.9877,0.9778,0.8435,0.9787,0.6939,0.8408,0.7942,0.6575,0.9688,0.9844,0.9941,0.7236,0.8946,0.7011,0.5,0.8563,0.7298,0.5867,0.9568,0.7694,0.6439,0.9643,0.9369,0.7412,0.8816,0.6245,0.9635,0.8336,0.9404
Texas,0.8198,0.1525,0.9474,0.933,0.2227,0.3624,0.0938,0.3475,0.3224,0.8676,0.3227,0.4104,0.3718,0.3931,0.5877,0.059,0.0806,0.4519,0.0916,0.8227,0.7679,0.0795,0.2401,0.2166,0.2708,0.2904,0.7211,0.7548,0.3007,0.3821,0.1862,0.7151,0.7939,0.3181,0.1826,0.2903,0.4101,0.2563,0.8937,0.9308,0.8807,0.4749,0.8851,0.2756,0.4699,0.3932,0.2437,0.839,0.914,0.966,0.3053,0.5875,0.2825,0.1437,0.5,0.312,0.1925,0.788,0.3591,0.2329,0.8193,0.7136,0.3247,0.5557,0.2182,0.8158,0.4569,0.7259
Texas A&M,0.9093,0.2841,0.9754,0.9685,0.3871,0.5562,0.1858,0.5401,0.512,0.9353,0.5124,0.6055,0.5661,0.5882,0.7586,0.1215,0.162,0.6451,0.1819,0.911,0.8795,0.1599,0.4107,0.3787,0.4503,0.4743,0.8508,0.8716,0.4867,0.5769,0.3353,0.847,0.8947,0.507,0.3301,0.4742,0.6052,0.4318,0.9488,0.9674,0.9421,0.6661,0.9444,0.4563,0.6616,0.5883,0.4154,0.92,0.9591,0.9843,0.4921,0.7585,0.4647,0.2702,0.688,0.5,0.3445,0.8913,0.5526,0.401,0.9091,0.846,0.5147,0.7339,0.381,0.9071,0.6497,0.8538
Texas Tech,0.9502,0.4303,0.9869,0.9832,0.5458,0.7045,0.3027,0.6909,0.6663,0.9649,0.6666,0.745,0.7129,0.731,0.8568,0.2084,0.269,0.7757,0.2973,0.9511,0.9328,0.2659,0.5701,0.5371,0.6092,0.6319,0.9156,0.9281,0.6434,0.7218,0.4897,0.9133,0.9417,0.6618,0.4839,0.6319,0.7447,0.5912,0.9724,0.9826,0.9687,0.7915,0.97,0.6149,0.7881,0.7311,0.5748,0.9563,0.9781,0.9917,0.6484,0.8566,0.6229,0.4133,0.8075,0.6555,0.5,0.9397,0.7015,0.5602,0.9501,0.9127,0.6686,0.8399,0.5394,0.9489,0.7792,0.9174
Troy,0.5504,0.0462,0.829,0.7893,0.0716,0.1326,0.0271,0.1253,0.1135,0.6382,0.1136,0.1578,0.1374,0.1484,0.2772,0.0166,0.0231,0.1815,0.0264,0.5552,0.471,0.0227,0.0784,0.0692,0.0909,0.0992,0.4103,0.453,0.1037,0.1427,0.058,0.4031,0.509,0.1115,0.0567,0.0991,0.1576,0.0849,0.6935,0.7835,0.6651,0.1957,0.6745,0.0929,0.1926,0.1484,0.0798,0.5837,0.7409,0.8845,0.1057,0.277,0.0958,0.0432,0.212,0.1087,0.0603,0.5,0.131,0.0755,0.5495,0.4014,0.1146,0.2518,0.0699,0.5438,0.1846,0.4161
UC San Diego,0.8904,0.2432,0.9698,0.9613,0.3383,0.5036,0.1559,0.4874,0.4593,0.9213,0.4596,0.5541,0.5137,0.5362,0.7179,0.1007,0.1354,0.5954,0.1525,0.8923,0.8552,0.1335,0.3607,0.3304,0.3987,0.4221,0.8219,0.846,0.4342,0.5247,0.2899,0.8175,0.873,0.4543,0.2851,0.422,0.5538,0.3809,0.9376,0.96,0.9295,0.6175,0.9322,0.4045,0.6128,0.5363,0.3652,0.903,0.9499,0.9807,0.4396,0.7177,0.4127,0.2306,0.6409,0.4474,0.2985,0.869,0.5,0.3515,0.89,0.8165,0.4619,0.6906,0.3326,0.8877,0.6003,0.8254
UCLA,0.9374,0.3722,0.9834,0.9787,0.4854,0.6518,0.2542,0.6369,0.6105,0.9557,0.6108,0.6963,0.6609,0.6808,0.8244,0.1712,0.2241,0.7308,0.2493,0.9386,0.916,0.2214,0.51,0.4766,0.5502,0.574,0.8949,0.9102,0.5861,0.6707,0.4297,0.8921,0.9269,0.6057,0.424,0.574,0.6961,0.5316,0.9652,0.9779,0.9605,0.7487,0.9621,0.5562,0.7449,0.6809,0.5149,0.945,0.9722,0.9894,0.5914,0.8243,0.5646,0.3561,0.7671,0.599,0.4398,0.9245,0.6485,0.5,0.9372,0.8914,0.613,0.8046,0.479,0.9359,0.7348,0.8972
UNC Wilmington,0.5009,0.0382,0.799,0.7544,0.0594,0.1114,0.0223,0.1051,0.095,0.5912,0.0951,0.1331,0.1155,0.125,0.2392,0.0136,0.019,0.1539,0.0218,0.5058,0.4219,0.0187,0.0652,0.0575,0.0757,0.0828,0.3632,0.4044,0.0866,0.12,0.048,0.3564,0.4594,0.0933,0.047,0.0828,0.133,0.0706,0.6498,0.7479,0.6195,0.1663,0.6295,0.0774,0.1636,0.1251,0.0664,0.5348,0.701,0.8626,0.0884,0.2391,0.0799,0.0357,0.1807,0.0909,0.0499,0.4505,0.11,0.0628,0.5,0.3547,0.0959,0.2162,0.058,0.4942,0.1565,0.3688
Utah St.,0.6461,0.0674,0.8785,0.8482,0.1031,0.1857,0.0399,0.1761,0.1603,0.7245,0.1605,0.2184,0.1919,0.2063,0.3639,0.0246,0.034,0.2486,0.0389,0.6506,0.5704,0.0335,0.1125,0.0999,0.1297,0.141,0.5093,0.5526,0.1471,0.1988,0.0841,0.5018,0.6072,0.1576,0.0823,0.141,0.2181,0.1215,0.7714,0.8437,0.7476,0.2663,0.7555,0.1325,0.2624,0.2063,0.1145,0.6765,0.8101,0.9195,0.1499,0.3637,0.1364,0.0631,0.2864,0.154,0.0873,0.5986,0.1835,0.1086,0.6453,0.5,0.1618,0.3341,0.1007,0.64,0.2524,0.5152
VCU,0.9044,0.2723,0.974,0.9666,0.3733,0.5416,0.177,0.5255,0.4974,0.9317,0.4977,0.5914,0.5517,0.5739,0.7477,0.1154,0.1542,0.6316,0.1733,0.9061,0.8731,0.1522,0.3966,0.365,0.4358,0.4597,0.8432,0.8649,0.472,0.5626,0.3223,0.8392,0.889,0.4923,0.3172,0.4596,0.5911,0.4174,0.9459,0.9655,0.9388,0.6529,0.9412,0.4417,0.6483,0.574,0.4012,0.9155,0.9567,0.9834,0.4775,0.7476,0.4501,0.2588,0.6753,0.4853,0.3314,0.8854,0.5381,0.387,0.9041,0.8382,0.5,0.7223,0.3673,0.9021,0.6363,0.8463
Vanderbilt,0.7844,0.1258,0.9351,0.9176,0.1864,0.3125,0.0764,0.2987,0.2756,0.8398,0.2759,0.3576,0.3212,0.3412,0.5327,0.0478,0.0655,0.3973,0.0746,0.7877,0.7257,0.0646,0.2017,0.1811,0.229,0.2465,0.6741,0.7111,0.2558,0.3309,0.1546,0.6674,0.7549,0.2716,0.1516,0.2465,0.3573,0.216,0.8706,0.9149,0.8551,0.4197,0.8603,0.2333,0.4149,0.3413,0.2049,0.8065,0.8947,0.9579,0.26,0.5325,0.2394,0.1184,0.4443,0.2661,0.1601,0.7482,0.3094,0.1954,0.7838,0.6659,0.2777,0.5,0.1825,0.7799,0.4022,0.6793
Wisconsin,0.9422,0.392,0.9847,0.9803,0.5064,0.6706,0.2704,0.6561,0.6303,0.9592,0.6306,0.7138,0.6795,0.6988,0.8362,0.1835,0.2391,0.7471,0.2653,0.9432,0.9222,0.2362,0.531,0.4976,0.5709,0.5944,0.9026,0.9169,0.6063,0.689,0.4504,0.8999,0.9324,0.6256,0.4446,0.5944,0.7135,0.5525,0.9679,0.9797,0.9636,0.7642,0.965,0.5768,0.7605,0.6989,0.5358,0.9492,0.9744,0.9903,0.6116,0.8361,0.5851,0.3755,0.7818,0.619,0.4606,0.9301,0.6674,0.521,0.942,0.8993,0.6327,0.8175,0.5,0.9407,0.7508,0.9047
Wofford,0.5066,0.039,0.8026,0.7586,0.0607,0.1137,0.0228,0.1073,0.097,0.5967,0.0971,0.1358,0.1178,0.1276,0.2434,0.014,0.0194,0.1569,0.0223,0.5115,0.4276,0.0191,0.0666,0.0587,0.0774,0.0845,0.3686,0.41,0.0885,0.1225,0.0491,0.3617,0.4651,0.0952,0.048,0.0845,0.1357,0.0722,0.655,0.7522,0.6249,0.1696,0.6348,0.0791,0.1668,0.1276,0.0678,0.5406,0.7058,0.8653,0.0902,0.2433,0.0816,0.0365,0.1842,0.0929,0.0511,0.4562,0.1123,0.0641,0.5058,0.36,0.0979,0.2201,0.0593,0.5,0.1596,0.3742
Xavier,0.8439,0.1762,0.9554,0.943,0.254,0.4032,0.1095,0.3877,0.3613,0.8863,0.3616,0.4528,0.413,0.435,0.6289,0.0694,0.0944,0.495,0.107,0.8465,0.7973,0.0931,0.2731,0.2474,0.3063,0.3272,0.7546,0.7854,0.3382,0.4237,0.2138,0.749,0.8208,0.3567,0.2099,0.3272,0.4525,0.2906,0.9091,0.9411,0.8977,0.5182,0.9015,0.3115,0.5131,0.4351,0.277,0.861,0.9267,0.9713,0.3432,0.6287,0.3188,0.1664,0.5431,0.3503,0.2208,0.8154,0.3997,0.2652,0.8435,0.7476,0.3637,0.5978,0.2492,0.8404,0.5,0.759
Yale,0.632,0.0636,0.8718,0.8402,0.0976,0.1767,0.0376,0.1674,0.1523,0.7122,0.1525,0.2081,0.1826,0.1965,0.3499,0.0231,0.0321,0.2374,0.0367,0.6366,0.5554,0.0316,0.1066,0.0945,0.123,0.1338,0.494,0.5375,0.1397,0.1893,0.0795,0.4866,0.5926,0.1497,0.0778,0.1338,0.2079,0.1151,0.7605,0.8355,0.7359,0.2546,0.7441,0.1256,0.2508,0.1966,0.1085,0.6631,0.8005,0.9148,0.1423,0.3497,0.1294,0.0596,0.2741,0.1462,0.0826,0.5839,0.1746,0.1028,0.6312,0.4848,0.1537,0.3207,0.0953,0.6258,0.241,0.5
