,Akron,Alabama,Alabama St.,American,Arizona,Arkansas,Auburn,BYU,Baylor,Bryant,Clemson,Colorado St.,Connecticut,Creighton,Drake,Duke,Florida,Georgia,Gonzaga,Grand Canyon,High Point,Houston,Illinois,Iowa St.,Kansas,Kentucky,Liberty,Lipscomb,Louisville,Marquette,Maryland,McNeese St.,Memphis,Michigan,Michigan St.,Mississippi,Mississippi St.,Missouri,Montana,Mount St. Mary's,Nebraska Omaha,New Mexico,Norfolk St.,North Carolina,Oklahoma,Oregon,Purdue,Robert Morris,SIU Edwardsville,Saint Francis,Saint Mary's,San Diego St.,St. John's,Tennessee,Texas,Texas A&M,Texas Tech,Troy,UC San Diego,UCLA,UNC Wilmington,Utah St.,VCU,Vanderbilt,Wisconsin,Wofford,Xavier,Yale
Liberty,0.6376,0.0651,0.8745,0.8433,0.0997,0.1802,0.0385,0.1708,0.1554,0.7171,0.1556,0.2121,0.1862,0.2003,0.3553,0.0237,0.0328,0.2417,0.0375,0.6421,0.5613,0.0323,0.1089,0.0966,0.1256,0.1366,0.5,0.5435,0.1425,0.193,0.0813,0.4925,0.5983,0.1528,0.0795,0.1366,0.2119,0.1176,0.7648,0.8387,0.7406,0.2591,0.7486,0.1283,0.2553,0.2003,0.1108,0.6684,0.8043,0.9167,0.1453,0.3551,0.1321,0.061,0.2789,0.1492,0.0844,0.5897,0.1781,0.1051,0.6368,0.4907,0.1568,0.3259,0.0974,0.6314,0.2454,0.506
Lipscomb,0.5964,0.0552,0.8541,0.8189,0.0851,0.1558,0.0325,0.1475,0.1339,0.6804,0.134,0.1844,0.1612,0.1738,0.3165,0.02,0.0277,0.2112,0.0317,0.6011,0.518,0.0273,0.0931,0.0824,0.1077,0.1173,0.4565,0.5,0.1225,0.1673,0.0692,0.4491,0.5558,0.1316,0.0677,0.1173,0.1842,0.1007,0.732,0.8137,0.7057,0.2271,0.7144,0.11,0.2236,0.1739,0.0948,0.6287,0.7754,0.9024,0.1249,0.3163,0.1134,0.0517,0.2452,0.1284,0.0719,0.547,0.154,0.0898,0.5956,0.4474,0.1351,0.2889,0.0831,0.59,0.2146,0.4625
Louisville,0.9137,0.2951,0.9767,0.97,0.3998,0.5693,0.194,0.5534,0.5253,0.9385,0.5257,0.6182,0.5792,0.601,0.7683,0.1273,0.1694,0.6572,0.19,0.9152,0.885,0.1672,0.4237,0.3914,0.4635,0.4876,0.8575,0.8775,0.5,0.5899,0.3473,0.8538,0.8996,0.5203,0.342,0.4876,0.6179,0.4449,0.9514,0.969,0.945,0.6778,0.9471,0.4695,0.6734,0.6011,0.4284,0.9238,0.9611,0.9851,0.5055,0.7681,0.478,0.2808,0.6993,0.5133,0.3566,0.8963,0.5658,0.4139,0.9134,0.8529,0.528,0.7442,0.3937,0.9115,0.6618,0.8603
Marquette,0.8803,0.2254,0.9668,0.9575,0.3165,0.4789,0.1433,0.4627,0.4348,0.9138,0.4352,0.5296,0.489,0.5115,0.6974,0.0921,0.1242,0.5714,0.1402,0.8824,0.8425,0.1225,0.3382,0.3089,0.3752,0.3982,0.807,0.8327,0.4101,0.5,0.27,0.8023,0.8617,0.4299,0.2654,0.3981,0.5293,0.3578,0.9315,0.956,0.9227,0.5939,0.9257,0.3809,0.5891,0.5116,0.3426,0.8939,0.945,0.9787,0.4154,0.6972,0.389,0.2135,0.6179,0.4231,0.2782,0.8573,0.4753,0.3293,0.88,0.8012,0.4374,0.6691,0.311,0.8775,0.5763,0.8107
Maryland,0.9521,0.4403,0.9875,0.9838,0.556,0.713,0.3114,0.6996,0.6754,0.9663,0.6757,0.7527,0.7212,0.739,0.8617,0.2152,0.2771,0.7828,0.3059,0.953,0.9353,0.274,0.5801,0.5472,0.6189,0.6414,0.9187,0.9308,0.6527,0.73,0.5,0.9165,0.9439,0.6709,0.4942,0.6414,0.7525,0.601,0.9735,0.9833,0.9699,0.7982,0.9712,0.6246,0.7949,0.7391,0.5848,0.958,0.9789,0.992,0.6577,0.8616,0.6325,0.4233,0.8138,0.6647,0.5103,0.942,0.7101,0.5703,0.952,0.9159,0.6777,0.8454,0.5496,0.9509,0.7862,0.9205
McNeese St.,0.6445,0.0669,0.8777,0.8473,0.1024,0.1846,0.0396,0.1751,0.1594,0.7231,0.1596,0.2171,0.1908,0.2051,0.3622,0.0244,0.0338,0.2473,0.0386,0.6489,0.5687,0.0332,0.1118,0.0992,0.1289,0.1402,0.5075,0.5509,0.1462,0.1977,0.0835,0.5,0.6055,0.1567,0.0818,0.1401,0.2169,0.1207,0.7702,0.8427,0.7463,0.2649,0.7542,0.1317,0.261,0.2052,0.1138,0.675,0.809,0.9189,0.149,0.362,0.1356,0.0627,0.2849,0.153,0.0867,0.5969,0.1825,0.1079,0.6436,0.4982,0.1608,0.3326,0.1001,0.6383,0.251,0.5134
Memphis,0.5415,0.0446,0.8238,0.7833,0.0692,0.1286,0.0262,0.1215,0.1099,0.6298,0.1101,0.1531,0.1332,0.1439,0.2701,0.016,0.0223,0.1763,0.0255,0.5463,0.462,0.0219,0.0758,0.067,0.0879,0.096,0.4017,0.4442,0.1004,0.1383,0.0561,0.3945,0.5,0.108,0.0548,0.096,0.1529,0.0821,0.6859,0.7773,0.6571,0.1902,0.6666,0.0899,0.1871,0.144,0.0772,0.575,0.734,0.8807,0.1024,0.2699,0.0927,0.0418,0.2061,0.1053,0.0583,0.491,0.127,0.0731,0.5406,0.3928,0.111,0.2451,0.0676,0.5349,0.1792,0.4074
Michigan,0.907,0.2784,0.9748,0.9676,0.3805,0.5492,0.1816,0.5332,0.505,0.9336,0.5054,0.5988,0.5593,0.5814,0.7535,0.1186,0.1583,0.6387,0.1777,0.9087,0.8765,0.1562,0.4039,0.3722,0.4433,0.4673,0.8472,0.8684,0.4797,0.5701,0.3291,0.8433,0.892,0.5,0.3239,0.4673,0.5985,0.4249,0.9475,0.9665,0.9406,0.6598,0.9429,0.4493,0.6553,0.5815,0.4086,0.9179,0.958,0.9839,0.4851,0.7533,0.4577,0.2647,0.6819,0.493,0.3382,0.8885,0.5457,0.3943,0.9067,0.8424,0.5077,0.7284,0.3744,0.9048,0.6433,0.8503
Michigan St.,0.9532,0.4461,0.9877,0.9842,0.5618,0.7178,0.3165,0.7045,0.6805,0.967,0.6808,0.757,0.7259,0.7435,0.8645,0.2192,0.2818,0.7867,0.3109,0.954,0.9367,0.2786,0.5858,0.553,0.6244,0.6468,0.9205,0.9323,0.658,0.7346,0.5058,0.9182,0.9452,0.6761,0.5,0.6467,0.7568,0.6066,0.9741,0.9837,0.9706,0.8019,0.9718,0.63,0.7987,0.7436,0.5905,0.9589,0.9794,0.9922,0.6629,0.8644,0.6379,0.429,0.8174,0.6699,0.5161,0.9433,0.7149,0.576,0.953,0.9177,0.6828,0.8484,0.5554,0.952,0.7901,0.9222
Mississippi,0.9175,0.3055,0.9778,0.9715,0.4118,0.5815,0.2019,0.5656,0.5377,0.9413,0.5381,0.6299,0.5913,0.6129,0.777,0.133,0.1765,0.6684,0.1977,0.919,0.89,0.1742,0.4359,0.4033,0.4759,0.5,0.8634,0.8827,0.5124,0.6019,0.3586,0.8599,0.904,0.5327,0.3533,0.5,0.6296,0.4572,0.9536,0.9705,0.9475,0.6886,0.9496,0.4819,0.6843,0.613,0.4406,0.9272,0.9629,0.9858,0.5179,0.7769,0.4904,0.291,0.7097,0.5258,0.3681,0.9009,0.578,0.426,0.9172,0.859,0.5404,0.7535,0.4056,0.9155,0.6728,0.8662
