round,region,team_a,team_b,seed_a,seed_b,prob_a,prob_b,predicted_winner,actual_winner,correct
1,South,Kansas,Texas Southern,1,16.0,0.9568,0.0432,Kansas,Kansas,True
1,South,San Diego St.,Creighton,8,9.0,0.451,0.549,Creighton,Creighton,True
1,South,Iowa St.,Richmond,11,12.0,0.6522,0.3478,Iowa St.,Iowa St.,True
1,South,Illinois,Chattanooga,4,13.0,0.6941,0.3059,Illinois,Illinois,True
1,South,LSU,Notre Dame,6,11.0,0.4871,0.5129,Notre Dame,Notre Dame,True
1,South,Tennessee,Longwood,3,14.0,0.8641,0.1359,Tennessee,Tennessee,True
1,South,USC,Miami FL,7,10.0,0.5071,0.4929,USC,Miami FL,False
1,South,Auburn,Saint Peter's,2,15.0,0.9174,0.0826,Auburn,Auburn,True
2,South,Kansas,Creighton,1,9.0,0.8146,0.1854,Kansas,Kansas,True
2,South,Iowa St.,Illinois,11,4.0,0.3844,0.6156,Illinois,Iowa St.,False
2,South,Notre Dame,Tennessee,11,3.0,0.3251,0.6749,Tennessee,,
2,South,USC,Auburn,7,2.0,0.3765,0.6235,Auburn,,
3,South,Kansas,Illinois,1,4.0,0.7445,0.2555,Kansas,Kansas,True
3,South,Tennessee,Auburn,3,2.0,0.5179,0.4821,Tennessee,,
4,South,Kansas,Tennessee,1,3.0,0.6369,0.3631,Kansas,Kansas,True
1,East,Arizona,Seed 16,1,,0.5,0.5,Arizona,Arizona,True
1,East,Seton Hall,TCU,8,9.0,0.481,0.519,TCU,TCU,True
1,East,Connecticut,New Mexico St.,5,12.0,0.6743,0.3257,Connecticut,New Mexico St.,False
1,East,UCLA,Akron,4,13.0,0.8655,0.1345,UCLA,UCLA,True
1,East,LSU,Iowa St.,6,11.0,0.5488,0.4512,LSU,Iowa St.,False
1,East,Wisconsin,Colgate,3,14.0,0.8834,0.1166,Wisconsin,Wisconsin,True
1,East,Michigan,San Diego St.,11,8.0,0.5619,0.4381,Michigan,Michigan,True
1,East,Villanova,Seed 15,2,,0.5,0.5,Villanova,Villanova,True
2,East,Arizona,TCU,1,9.0,0.7414,0.2586,Arizona,Arizona,True
2,East,Connecticut,UCLA,5,4.0,0.3871,0.6129,UCLA,UCLA,True
2,East,LSU,Wisconsin,6,3.0,0.3728,0.6272,Wisconsin,,
2,East,Michigan,Villanova,11,2.0,0.2767,0.7233,Villanova,Michigan,False
3,East,Arizona,UCLA,1,4.0,0.6176,0.3824,Arizona,,
3,East,Wisconsin,Villanova,3,2.0,0.4117,0.5883,Villanova,Villanova,True
4,East,Arizona,Villanova,1,2.0,0.5544,0.4456,Arizona,Villanova,False
1,West,Gonzaga,Georgia St.,1,16.0,0.9168,0.0832,Gonzaga,Gonzaga,True
1,West,Davidson,Boise St.,10,8.0,0.5194,0.4806,Davidson,,
1,West,Iowa,UAB,5,12.0,0.7157,0.2843,Iowa,,
1,West,Duke,South Dakota St.,2,13.0,0.7996,0.2004,Duke,Duke,True
1,West,Alabama,Notre Dame,6,11.0,0.5165,0.4835,Alabama,Notre Dame,False
1,West,Texas Tech,Montana St.,3,14.0,0.7989,0.2011,Texas Tech,Texas Tech,True
1,West,Michigan St.,Miami FL,7,10.0,0.5035,0.4965,Michigan St.,Michigan St.,True
1,West,Memphis,Cal St. Fullerton,9,15.0,0.8034,0.1966,Memphis,Memphis,True
2,West,Gonzaga,Davidson,1,10.0,0.7392,0.2608,Gonzaga,Gonzaga,True
2,West,Iowa,Duke,5,2.0,0.3579,0.6421,Duke,Duke,True
2,West,Alabama,Texas Tech,6,3.0,0.4722,0.5278,Texas Tech,Texas Tech,True
2,West,Michigan St.,Memphis,7,9.0,0.5448,0.4552,Michigan St.,,
3,West,Gonzaga,Duke,1,2.0,0.4932,0.5068,Duke,Duke,True
3,West,Texas Tech,Michigan St.,3,7.0,0.5093,0.4907,Texas Tech,,
4,West,Duke,Texas Tech,2,3.0,0.6927,0.3073,Duke,Duke,True
1,Midwest,Baylor,Wright St.,1,16.0,0.9395,0.0605,Baylor,Baylor,True
1,Midwest,Marquette,Seed 9,9,,0.5,0.5,Marquette,,
1,Midwest,Houston,New Mexico St.,5,12.0,0.7627,0.2373,Houston,Houston,True
1,Midwest,Arkansas,Vermont,4,13.0,0.7205,0.2795,Arkansas,Arkansas,True
1,Midwest,Texas,Virginia Tech,6,11.0,0.6277,0.3723,Texas,Texas,True
1,Midwest,Purdue,Yale,3,14.0,0.9127,0.0873,Purdue,Purdue,True
1,Midwest,Murray St.,San Francisco,7,10.0,0.5872,0.4128,Murray St.,Murray St.,True
1,Midwest,Kentucky,Saint Peter's,2,15.0,0.9314,0.0686,Kentucky,Saint Peter's,False
2,Midwest,Baylor,Marquette,1,9.0,0.7697,0.2303,Baylor,,
2,Midwest,Houston,Arkansas,5,4.0,0.6002,0.3998,Houston,Houston,True
2,Midwest,Texas,Purdue,6,3.0,0.3551,0.6449,Purdue,Purdue,True
2,Midwest,Murray St.,Kentucky,7,2.0,0.2632,0.7368,Kentucky,,
3,Midwest,Baylor,Houston,1,5.0,0.5923,0.4077,Baylor,Houston,False
3,Midwest,Purdue,Kentucky,3,2.0,0.4896,0.5104,Kentucky,,
4,Midwest,Baylor,Kentucky,1,2.0,0.5146,0.4854,Baylor,,
5,Final Four,Kansas,Arizona,1,1.0,0.5619,0.4381,Kansas,Kansas,True
5,Final Four,Duke,Baylor,2,1.0,0.5178,0.4822,Duke,,
6,Championship,Kansas,Duke,1,2.0,0.5751,0.4249,Kansas,Kansas,True
