feature,raw_weight,norm_weight,interpretation,feature_mean,feature_std
TRUE_QUALITY_SCORE,0.229998,0.3857,higher = stronger team (AdjEM - 0.4*Luck),0.0,12.8898
SEED_DIVERGENCE,0.167347,0.2806,positive = underseeded (KenPom ranks them better than seed),0.0,3.4671
ADJDE,0.091951,0.1542,adjusted defensive efficiency (lower = better defense),0.0,6.9197
ADJOE,-0.071409,-0.1197,adjusted offensive efficiency (pts per 100 possessions),0.0,9.0772
COACH_PREMIUM,-0.021661,-0.0363,career tournament wins above seed expectation (Tom Izzo signal),0.0,2.5721
QMS,-0.013987,-0.0235,quality momentum — weighted wins vs top-25/50/100 teams,0.0,27.0262
