round,region,team_a,team_b,seed_a,seed_b,prob_a,prob_b,predicted_winner,actual_winner,correct
1,South,Alabama,Seed 16,1,,0.5,0.5,Alabama,Alabama,True
1,South,Maryland,West Virginia,8,9.0,0.4758,0.5242,West Virginia,Maryland,False
1,South,San Diego St.,College of Charleston,5,12.0,0.6896,0.3104,San Diego St.,San Diego St.,True
1,South,Virginia,Furman,4,13.0,0.7438,0.2562,Virginia,Furman,False
1,South,Creighton,North Carolina St.,6,11.0,0.5532,0.4468,Creighton,Creighton,True
1,South,Baylor,UC Santa Barbara,3,14.0,0.7731,0.2269,Baylor,Baylor,True
1,South,Missouri,Utah St.,7,10.0,0.5303,0.4697,Missouri,Missouri,True
1,South,Arizona,Princeton,2,15.0,0.8925,0.1075,Arizona,Princeton,False
2,South,Alabama,West Virginia,1,9.0,0.7727,0.2273,Alabama,Alabama,True
2,South,San Diego St.,Virginia,5,4.0,0.521,0.479,San Diego St.,San Diego St.,True
2,South,Creighton,Baylor,6,3.0,0.3804,0.6196,Baylor,Creighton,False
2,South,Missouri,Arizona,7,2.0,0.286,0.714,Arizona,,
3,South,Alabama,San Diego St.,1,5.0,0.7004,0.2996,Alabama,San Diego St.,False
3,South,Baylor,Arizona,3,2.0,0.4104,0.5896,Arizona,,
4,South,Alabama,Arizona,1,2.0,0.5424,0.4576,Alabama,,
1,East,Kansas,Howard,1,16.0,0.9424,0.0576,Kansas,Kansas,True
1,East,Arkansas,Illinois,8,9.0,0.4686,0.5314,Illinois,Arkansas,False
1,East,Saint Mary's,VCU,5,12.0,0.5812,0.4188,Saint Mary's,Saint Mary's,True
1,East,Connecticut,Iona,4,13.0,0.8071,0.1929,Connecticut,Connecticut,True
1,East,TCU,Arizona St.,6,11.0,0.58,0.42,TCU,TCU,True
1,East,Gonzaga,Grand Canyon,3,14.0,0.8774,0.1226,Gonzaga,Gonzaga,True
1,East,Northwestern,Boise St.,7,10.0,0.5239,0.4761,Northwestern,Northwestern,True
1,East,UCLA,UNC Asheville,2,15.0,0.8861,0.1139,UCLA,UCLA,True
2,East,Kansas,Illinois,1,9.0,0.7453,0.2547,Kansas,,
2,East,Saint Mary's,Connecticut,5,4.0,0.3722,0.6278,Connecticut,Connecticut,True
2,East,TCU,Gonzaga,6,3.0,0.2836,0.7164,Gonzaga,Gonzaga,True
2,East,Northwestern,UCLA,7,2.0,0.2208,0.7792,UCLA,UCLA,True
3,East,Kansas,Connecticut,1,4.0,0.6401,0.3599,Kansas,Connecticut,False
3,East,Gonzaga,UCLA,3,2.0,0.486,0.514,UCLA,Gonzaga,False
4,East,Kansas,UCLA,1,2.0,0.519,0.481,Kansas,,
1,West,Purdue,Texas Southern,1,16.0,0.9751,0.0249,Purdue,,
1,West,Memphis,Florida Atlantic,8,9.0,0.5599,0.4401,Memphis,Florida Atlantic,False
1,West,Duke,Oral Roberts,5,12.0,0.6896,0.3104,Duke,Duke,True
1,West,Tennessee,Louisiana Lafayette,4,13.0,0.6638,0.3362,Tennessee,Tennessee,True
1,West,Kentucky,Providence,6,11.0,0.5205,0.4795,Kentucky,Kentucky,True
1,West,Kansas St.,Kennesaw St.,3,14.0,0.7375,0.2625,Kansas St.,Kansas St.,True
1,West,Michigan St.,USC,7,10.0,0.5085,0.4915,Michigan St.,Michigan St.,True
1,West,Marquette,Montana St.,2,14.0,0.8697,0.1303,Marquette,Marquette,True
2,West,Purdue,Memphis,1,8.0,0.6797,0.3203,Purdue,,
2,West,Duke,Tennessee,5,4.0,0.5957,0.4043,Duke,Tennessee,False
2,West,Kentucky,Kansas St.,6,3.0,0.4729,0.5271,Kansas St.,Kansas St.,True
2,West,Michigan St.,Marquette,7,2.0,0.3399,0.6601,Marquette,Michigan St.,False
3,West,Purdue,Duke,1,5.0,0.6322,0.3678,Purdue,,
3,West,Kansas St.,Marquette,3,2.0,0.347,0.653,Marquette,Kansas St.,False
4,West,Purdue,Marquette,1,2.0,0.5533,0.4467,Purdue,,
1,Midwest,Houston,Northern Kentucky,1,16.0,0.9325,0.0675,Houston,Houston,True
1,Midwest,Iowa,Auburn,8,9.0,0.5216,0.4784,Iowa,Auburn,False
1,Midwest,Miami FL,Drake,5,12.0,0.7259,0.2741,Miami FL,Miami FL,True
1,Midwest,Indiana,Kent St.,4,13.0,0.7501,0.2499,Indiana,Indiana,True
1,Midwest,Iowa St.,Pittsburgh,6,11.0,0.5687,0.4313,Iowa St.,Pittsburgh,False
1,Midwest,Xavier,Kennesaw St.,3,14.0,0.7914,0.2086,Xavier,Xavier,True
1,Midwest,Texas A&M,Penn St.,7,10.0,0.5974,0.4026,Texas A&M,Penn St.,False
1,Midwest,Texas,Colgate,2,15.0,0.8767,0.1233,Texas,Texas,True
2,Midwest,Houston,Iowa,1,8.0,0.7406,0.2594,Houston,Houston,True
2,Midwest,Miami FL,Indiana,5,4.0,0.4521,0.5479,Indiana,Miami FL,False
2,Midwest,Iowa St.,Xavier,6,3.0,0.3349,0.6651,Xavier,Xavier,True
2,Midwest,Texas A&M,Texas,7,2.0,0.339,0.661,Texas,Texas,True
3,Midwest,Houston,Indiana,1,4.0,0.6285,0.3715,Houston,,
3,Midwest,Xavier,Texas,3,2.0,0.4153,0.5847,Texas,Texas,True
4,Midwest,Houston,Texas,1,2.0,0.526,0.474,Houston,,
5,Final Four,Alabama,Kansas,1,1.0,0.5042,0.4958,Alabama,,
5,Final Four,Purdue,Houston,1,1.0,0.525,0.475,Purdue,,
6,Championship,Alabama,Purdue,1,1.0,0.521,0.479,Alabama,,
