year,region,round,round_name,team_a,team_b,seed_a,seed_b,prob_a,prob_b,predicted_winner,actual_winner,correct
2023,South,1,R64,Alabama,Northern Kentucky,1,16,0.9727,0.0273,Alabama,Alabama,True
2023,South,1,R64,Arkansas,Auburn,8,9,0.5843,0.4157,Arkansas,Arkansas,True
2023,South,1,R64,Duke,College of Charleston,5,12,0.8447,0.1553,Duke,Duke,True
2023,South,1,R64,Connecticut,Furman,4,13,0.981,0.019,Connecticut,Connecticut,True
2023,South,1,R64,Creighton,Providence,6,11,0.7689,0.2311,Creighton,Creighton,True
2023,South,1,R64,Baylor,Grand Canyon,3,14,0.883,0.117,Baylor,Baylor,True
2023,South,1,R64,Michigan St.,Boise St.,7,10,0.5587,0.4413,Michigan St.,Michigan St.,True
2023,South,1,R64,Arizona,Colgate,2,15,0.9034,0.0966,Arizona,,
2023,South,2,R32,Alabama,Arkansas,1,8,0.7108,0.2892,Alabama,Alabama,True
2023,South,2,R32,Duke,Connecticut,5,4,0.128,0.872,Connecticut,Connecticut,True
2023,South,2,R32,Creighton,Baylor,6,3,0.7237,0.2763,Creighton,Creighton,True
2023,South,2,R32,Michigan St.,Arizona,7,2,0.3995,0.6005,Arizona,Michigan St.,False
2023,South,3,S16,Alabama,Connecticut,1,4,0.2985,0.7015,Connecticut,Connecticut,True
2023,South,3,S16,Creighton,Arizona,6,2,0.6604,0.3396,Creighton,Creighton,True
2023,South,4,E8,Connecticut,Creighton,4,6,0.746,0.254,Connecticut,Connecticut,True
2023,East,1,R64,Houston,Texas A&M Corpus Chris,1,16,0.9778,0.0222,Houston,Houston,True
2023,East,1,R64,Iowa,Florida Atlantic,8,9,0.1774,0.8226,Florida Atlantic,Florida Atlantic,True
2023,East,1,R64,Miami FL,Drake,5,12,0.7879,0.2121,Miami FL,Miami FL,True
2023,East,1,R64,Indiana,Iona,4,13,0.6444,0.3556,Indiana,Indiana,True
2023,East,1,R64,Iowa St.,North Carolina St.,6,11,0.6157,0.3843,Iowa St.,,
2023,East,1,R64,Gonzaga,Kennesaw St.,3,14,0.9549,0.0451,Gonzaga,Gonzaga,True
2023,East,1,R64,Missouri,Penn St.,7,10,0.1289,0.8711,Penn St.,Missouri,False
