year,region,round,round_name,team_a,team_b,seed_a,seed_b,prob_a,prob_b,predicted_winner,actual_winner,correct
2022,South,1,R64,Arizona,Georgia St.,1,16,0.9571,0.0429,Arizona,Arizona,True
2022,South,1,R64,Boise St.,Creighton,8,9,0.6272,0.3728,Boise St.,Creighton,False
2022,South,1,R64,Connecticut,Indiana,5,12,0.608,0.392,Connecticut,,
2022,South,1,R64,Arkansas,Akron,4,13,0.9213,0.0787,Arkansas,Arkansas,True
2022,South,1,R64,Alabama,Virginia Tech,6,11,0.1852,0.8148,Virginia Tech,,
2022,South,1,R64,Purdue,Colgate,3,14,0.929,0.071,Purdue,Purdue,True
2022,South,1,R64,Michigan St.,Davidson,7,10,0.335,0.665,Davidson,Michigan St.,False
2022,South,1,R64,Auburn,Cal St. Fullerton,2,15,0.9489,0.0511,Auburn,Auburn,True
2022,South,2,R32,Arizona,Boise St.,1,8,0.8347,0.1653,Arizona,Arizona,True
2022,South,2,R32,Connecticut,Arkansas,5,4,0.4705,0.5295,Arkansas,Arkansas,True
2022,South,2,R32,Virginia Tech,Purdue,11,3,0.6696,0.3304,Virginia Tech,Purdue,False
2022,South,2,R32,Davidson,Auburn,10,2,0.2781,0.7219,Auburn,,
2022,South,3,S16,Arizona,Arkansas,1,4,0.7052,0.2948,Arizona,Arkansas,False
2022,South,3,S16,Virginia Tech,Auburn,11,2,0.6436,0.3564,Virginia Tech,,
2022,South,4,E8,Arizona,Virginia Tech,1,11,0.4442,0.5558,Virginia Tech,,
2022,East,1,R64,Baylor,Wright St.,1,16,0.9751,0.0249,Baylor,Baylor,True
2022,East,1,R64,North Carolina,Marquette,8,9,0.9208,0.0792,North Carolina,North Carolina,True
2022,East,1,R64,Houston,UAB,5,12,0.9382,0.0618,Houston,Houston,True
2022,East,1,R64,Illinois,Chattanooga,4,13,0.7867,0.2133,Illinois,Illinois,True
2022,East,1,R64,Colorado St.,Michigan,6,11,0.1222,0.8778,Michigan,Michigan,True
2022,East,1,R64,Tennessee,Longwood,3,14,0.9681,0.0319,Tennessee,Tennessee,True
2022,East,1,R64,Murray St.,Loyola Chicago,7,10,0.3056,0.6944,Loyola Chicago,Murray St.,False
2022,East,1,R64,Duke,Delaware,2,15,0.9605,0.0395,Duke,Duke,True
2022,East,2,R32,Baylor,North Carolina,1,8,0.5651,0.4349,Baylor,North Carolina,False
2022,East,2,R32,Houston,Illinois,5,4,0.885,0.115,Houston,Houston,True
2022,East,2,R32,Michigan,Tennessee,11,3,0.3851,0.6149,Tennessee,Michigan,False
2022,East,2,R32,Loyola Chicago,Duke,10,2,0.3047,0.6953,Duke,Duke,True
2022,East,3,S16,Baylor,Houston,1,5,0.3189,0.6811,Houston,Houston,True
2022,East,3,S16,Tennessee,Duke,3,2,0.4978,0.5022,Duke,Duke,True
2022,East,4,E8,Houston,Duke,5,2,0.7334,0.2666,Houston,Duke,False
2022,West,1,R64,Gonzaga,Norfolk St.,1,16,0.9857,0.0143,Gonzaga,Gonzaga,True
2022,West,1,R64,San Diego St.,Memphis,8,9,0.4115,0.5885,Memphis,Memphis,True
2022,West,1,R64,Iowa,Wyoming,5,12,0.9081,0.0919,Iowa,,
2022,West,1,R64,Providence,South Dakota St.,4,13,0.6317,0.3683,Providence,Providence,True
2022,West,1,R64,LSU,Notre Dame,6,11,0.5727,0.4273,LSU,Notre Dame,False
2022,West,1,R64,Texas Tech,Montana St.,3,14,0.9722,0.0278,Texas Tech,Texas Tech,True
2022,West,1,R64,Ohio St.,Miami FL,7,10,0.5496,0.4504,Ohio St.,Ohio St.,True
2022,West,1,R64,Kentucky,Jacksonville St.,2,15,0.9664,0.0336,Kentucky,,
2022,West,2,R32,Gonzaga,Memphis,1,9,0.7926,0.2074,Gonzaga,Gonzaga,True
2022,West,2,R32,Iowa,Providence,5,4,0.854,0.146,Iowa,Providence,False
2022,West,2,R32,LSU,Texas Tech,6,3,0.2489,0.7511,Texas Tech,Texas Tech,True
2022,West,2,R32,Ohio St.,Kentucky,7,2,0.1913,0.8087,Kentucky,,
2022,West,3,S16,Gonzaga,Iowa,1,5,0.7184,0.2816,Gonzaga,,
2022,West,3,S16,Texas Tech,Kentucky,3,2,0.5389,0.4611,Texas Tech,,
2022,West,4,E8,Gonzaga,Texas Tech,1,3,0.6332,0.3668,Gonzaga,,
2022,Midwest,1,R64,Kansas,Texas Southern,1,16,0.9794,0.0206,Kansas,Kansas,True
2022,Midwest,1,R64,Seton Hall,TCU,8,9,0.1638,0.8362,TCU,TCU,True
2022,Midwest,1,R64,Saint Mary's,New Mexico St.,5,12,0.8664,0.1336,Saint Mary's,Saint Mary's,True
2022,Midwest,1,R64,UCLA,Vermont,4,13,0.8605,0.1395,UCLA,UCLA,True
2022,Midwest,1,R64,Texas,Iowa St.,6,11,0.7647,0.2353,Texas,Texas,True
2022,Midwest,1,R64,Wisconsin,Yale,3,14,0.722,0.278,Wisconsin,Wisconsin,True
2022,Midwest,1,R64,USC,San Francisco,7,10,0.1249,0.8751,San Francisco,,
2022,Midwest,1,R64,Villanova,Saint Peter's,2,15,0.9108,0.0892,Villanova,Villanova,True
2022,Midwest,2,R32,Kansas,TCU,1,9,0.7445,0.2555,Kansas,Kansas,True
2022,Midwest,2,R32,Saint Mary's,UCLA,5,4,0.3087,0.6913,UCLA,UCLA,True
2022,Midwest,2,R32,Texas,Wisconsin,6,3,0.9054,0.0946,Texas,,
2022,Midwest,2,R32,San Francisco,Villanova,10,2,0.4696,0.5304,Villanova,Villanova,True
2022,Midwest,3,S16,Kansas,UCLA,1,4,0.5653,0.4347,Kansas,Kansas,True
2022,Midwest,3,S16,Texas,Villanova,6,2,0.5034,0.4966,Texas,Villanova,False
2022,Midwest,4,E8,Kansas,Texas,1,6,0.6337,0.3663,Kansas,Kansas,True
2022,Final Four,5,F4,Virginia Tech,Houston,11,5,0.2996,0.7004,Houston,,
2022,Final Four,5,F4,Gonzaga,Kansas,1,1,0.6151,0.3849,Gonzaga,Kansas,False
2022,Championship,6,Champ,Houston,Gonzaga,5,1,0.5577,0.4423,Houston,,
